"","date","temp"
"1",2017-04-23,26.125
"2",2017-04-24,22.65
"3",2017-04-25,26.9333333333333
"4",2017-04-26,24.44
"5",2017-04-27,23.05
"6",2017-04-28,24.325
"7",2017-04-29,23.925
"8",2017-04-30,23.6666666666667
"9",2017-05-01,25.475
"10",2017-05-02,23.025
"11",2017-05-03,25.26
"12",2017-05-04,24.2
"13",2017-05-05,21.575
"14",2017-05-06,23.425
"15",2017-05-07,24.975
"16",2017-05-08,23.875
"17",2017-05-09,25.25
"18",2017-05-10,22.4
"19",2017-05-11,25.1
"20",2017-05-12,24.975
"21",2017-05-13,25.975
"22",2017-05-14,24.08
"23",2017-05-15,23.96
"24",2017-05-16,24.24
