"","date","rain_daytime","rain_24h","rain_48h","rain_cumul"
"1",2018-03-01,1.414,NA,NA,NA
"2",2018-03-02,3.636,1.616,NA,5.252
"3",2018-03-03,21.008,3.636,5.252,24.644
"4",2018-03-04,4.848,26.26,29.896,31.108
"5",2018-03-05,0.808,5.05,31.31,5.858
"6",2018-03-06,0.808,0.808,5.858,1.616
"7",2018-03-07,3.03,0.808,1.616,3.838
"8",2018-03-08,0.404,3.232,4.04,3.636
"9",2018-03-09,0.606,0.404,3.636,1.01
"10",2018-03-10,0,0.606,1.01,0.606
"11",2018-03-11,2.222,0.202,0.808,2.424
"12",2018-03-12,0.808,2.222,2.424,3.03
"13",2018-03-13,0,0.808,3.03,0.808
"14",2018-03-14,0.202,0,0.808,0.202
"15",2018-03-15,9.898,0.202,0.202,10.1
"16",2018-03-16,8.282,10.1,10.302,18.382
"17",2018-03-17,0,9.292,19.392,9.292
"18",2018-03-18,10.504,0,9.292,10.504
"19",2018-03-19,7.272,10.908,10.908,18.18
"20",2018-03-20,1.616,7.272,18.18,8.888
"21",2018-03-21,2.02,3.232,10.504,5.252
"22",2018-03-22,0.202,2.02,5.252,2.222
"23",2018-03-23,0,0.404,2.424,0.404
"24",2018-03-24,45.244,1.414,1.818,46.658
"25",2018-03-25,6.06,52.314,53.728,58.374
"26",2018-03-26,4.444,7.07,59.384,11.514
"27",2018-03-27,0,4.646,11.716,4.646
"28",2018-03-28,0,0,4.646,0
"29",2018-03-29,0,0,0,0
"30",2018-03-30,4.646,0,0,4.646
"31",2018-03-31,13.534,4.848,4.848,18.382
"32",2018-04-01,6.868,14.746,19.594,21.614
"33",2018-04-02,12.928,7.07,21.816,19.998
"34",2018-04-03,1.01,13.13,20.2,14.14
"35",2018-04-04,6.06,1.212,14.342,7.272
"36",2018-04-05,3.232,6.06,7.272,9.292
"37",2018-04-06,12.116,3.232,9.292,15.348
"38",2018-04-07,12.524,12.722,15.954,25.246
"39",2018-04-08,1.616,12.524,25.246,14.14
"40",2018-04-09,2.626,1.616,14.14,4.242
"41",2018-04-10,0,2.626,4.242,2.626
"42",2018-04-11,12.726,0.202,2.828,12.928
"43",2018-04-12,2.828,13.332,13.534,16.16
"44",2018-04-13,0,2.828,16.16,2.828
"45",2018-04-14,18.382,0.808,3.636,19.19
"46",2018-04-15,20.406,19.594,20.402,40
"47",2018-04-16,2.02,20.406,40,22.426
"48",2018-04-17,0,2.02,22.426,2.02
"49",2018-04-18,0,0,2.02,0
"50",2018-04-19,0,0,0,0
"51",2018-04-20,27.474,0.404,0.404,27.878
"52",2018-04-21,2.222,29.292,29.696,31.514
"53",2018-04-22,16.766,2.222,31.514,18.988
"54",2018-04-23,11.312,17.17,19.392,28.482
"55",2018-04-24,6.666,13.534,30.704,20.2
"56",2018-04-25,8.686,7.474,21.008,16.16
"57",2018-04-26,37.774,9.09,16.564,46.864
"58",2018-04-27,14.75,38.38,47.47,53.13
"59",2018-04-28,2.424,14.75,53.13,17.174
"60",2018-04-29,3.232,4.848,19.598,8.08
"61",2018-04-30,26.058,4.04,8.888,30.098
