,id,date,sex,x,y,year
1,11-f-040,22/2/14,female,313991.5748,446696.2994,2014
2,12-f-011,13/2/14,female,313955.2483,446685.0328,2014
3,12-f-011,3/3/14,female,313956.1099,446684.8055,2014
4,12-f-011,21/4/14,female,313952.3724,446687.2324,2014
5,12-f-011,22/4/14,female,313981.244,446690.886,2014
6,12-f-069,6/2/14,female,313962.089,446767.1336,2014
7,12-m-015,3/2/14,male,313950.1581,446708.0946,2014
8,12-m-027,9/2/14,male,314103.1738,446735.522,2014
9,12-m-027,22/2/14,male,314105.7079,446733.4192,2014
10,12-m-036,7/2/14,male,313959.8405,446814.9994,2014
11,12-m-036,9/2/14,male,313961.4325,446818.9083,2014
12,12-m-087,5/2/14,male,314071.2654,446799.5134,2014
13,12-m-087,11/2/14,male,314071.283,446799.5152,2014
14,12-m-123,31/1/14,male,313935.5698,446699.4548,2014
15,12-m-123,15/4/14,male,313936.8928,446695.9082,2014
16,12-m-123,4/2/15,male,313949.1335,446671.5285,2015
17,12-m-123,5/2/15,male,313949.1254,446683.8857,2015
18,12-m-123,8/2/15,male,313950.1776,446683.5523,2015
19,12-m-136,5/2/14,male,314073.9531,446788.1981,2014
20,12-m-136,28/2/14,male,314072.9618,446797.0717,2014
21,13-f-040,6/2/14,male,313967.2613,446769.462,2014
22,13-f-049,21/4/14,female,313978.0596,446687.1755,2014
23,13-f-056,22/2/14,female,313971.8098,446722.8912,2014
24,13-m-005,3/2/14,male,313970.615,446684.9416,2014
25,13-m-005,4/2/14,male,313963.8606,446689.3662,2014
26,13-m-005,13/2/14,male,313969.037,446688.2911,2014
27,13-m-005,14/2/14,male,313968.44,446688.1963,2014
28,13-m-006,22/2/14,male,313961.5137,446712.2231,2014
29,13-m-006,29/1/15,male,313963.2234,446716.1984,2015
30,13-m-006,2/2/15,male,313975.1337,446701.7146,2015
31,13-m-011,26/1/14,male,314027.2921,446690.4923,2014
32,13-m-011,4/2/14,male,314028.2755,446689.5794,2014
