"","id","dt","x_utm","y_utm"
"1","os19_10m",2019-05-26 08:14:28,698974.216302876,58563.953535861
"2","os19_10m",2019-05-26 13:30:54,698975.606449701,58563.1336603466
"3","os19_10m",2019-05-26 16:44:37,698978.799689484,58566.0466806625
"4","os19_10m",2019-05-27 08:27:56,698977.413739016,58565.3778984018
"5","os19_10m",2019-05-27 08:44:35,698974.250353883,58563.9507850798
"6","os19_10m",2019-05-27 08:44:56,698974.209324905,58563.9282559772
"7","os19_10m",2019-05-27 11:01:50,698976.292071622,58564.9444935752
"8","os19_10m",2019-05-27 11:18:41,698976.546233417,58564.95189882
"9","os19_10m",2019-05-27 16:56:28,698975.069263969,58566.445740061
"10","os19_10m",2019-05-28 08:24:00,698975.865870603,58565.4018593032
"11","os19_10m",2019-05-28 11:42:08,698976.088440216,58566.6389581889
"12","os19_10m",2019-05-28 15:03:08,698976.628042589,58567.2383440705
"13","os19_10m",2019-05-29 07:59:24,698976.195844036,58567.0269482005
"14","os19_10m",2019-05-29 11:34:02,698974.118204731,58565.9311112941
"15","os19_10m",2019-05-29 16:40:33,698972.175672523,58566.2080629924
"16","os19_10m",2019-05-30 07:55:32,698973.87906578,58565.3357615298
"17","os19_10m",2019-05-30 11:30:15,698973.439940708,58565.273159
"18","os19_10m",2019-05-30 15:42:21,698965.288811567,58565.7509343699
"19","os19_10m",2019-05-31 08:04:06,698965.277030639,58567.9602617057
"20","os19_10m",2019-05-31 12:40:45,698959.413722392,58571.7282526292
"21","os19_10m",2019-05-31 15:05:36,698945.450888769,58581.9057651012
"22","os19_10m",2019-06-01 08:04:26,698944.684899502,58576.9147481067
"23","os19_10m",2019-06-01 12:13:08,698939.687436124,58571.4348388753
"24","os19_10m",2019-06-01 16:30:24,698939.925012551,58573.2650006569
"25","os19_10m",2019-06-02 07:49:13,698940.926934125,58577.2147079487
"26","os19_10m",2019-06-02 11:16:33,698936.842498594,58574.3563584086
"27","os19_11m",2019-05-26 08:40:46,698975.412739249,58554.984470387
"28","os19_11m",2019-05-26 13:21:39,698975.854315881,58554.7346893445
"29","os19_11m",2019-05-26 16:04:51,698972.621045193,58556.0970755875
"30","os19_11m",2019-05-27 07:59:00,698974.443989116,58557.239437093
"31","os19_11m",2019-05-27 10:50:08,698974.660673747,58557.3618783177
"32","os19_11m",2019-05-27 16:35:33,698973.293444858,58556.4577983694
"33","os19_11m",2019-05-28 08:18:02,698974.977435482,58556.6982373871
"34","os19_11m",2019-05-28 11:26:42,698974.114513484,58557.6475434191
"35","os19_11m",2019-05-28 15:53:30,698974.625745578,58550.7242904528
"36","os19_11m",2019-05-29 07:47:57,698973.439754494,58554.6215294584
"37","os19_11m",2019-05-29 12:22:36,698971.932557604,58557.792476281
"38","os19_11m",2019-05-29 16:54:14,698968.114414086,58556.0030446376
"39","os19_11m",2019-05-30 07:43:54,698971.606589398,58557.1572321339
"40","os19_11m",2019-05-30 11:22:19,698971.036504493,58557.4111857665
"41","os19_11m",2019-05-30 15:28:32,698971.927836912,58555.9900229054
"42","os19_11m",2019-05-31 07:48:35,698971.326261296,58557.2150156383
"43","os19_11m",2019-05-31 12:28:55,698972.948072496,58557.4568147599
"44","os19_11m",2019-05-31 15:05:05,698969.552174335,58557.4596093894
"45","os19_11m",2019-06-01 07:45:50,698972.606028806,58558.226533034
"46","os19_11m",2019-06-01 11:48:38,698974.539487576,58559.0084897511
"47","os19_11m",2019-06-01 16:38:31,698974.425674552,58559.2534273158
"48","os19_11m",2019-06-02 07:44:48,698972.266171267,58556.613284244
"49","os19_11m",2019-06-02 11:00:54,698972.268372023,58556.7597681764
"50","os19_11m",2019-06-02 15:45:11,698972.750092198,58557.1913997895
"51","os19_11m",2019-06-03 08:10:35,698971.755413907,58557.3045454096
"52","os19_12f",2019-05-26 10:54:17,698977.223472795,58515.5086660237
"53","os19_12f",2019-05-26 17:07:23,698975.345333188,58514.2470852615
"54","os19_12f",2019-05-27 07:57:34,698975.155132361,58517.4095418923
"55","os19_12f",2019-05-27 12:09:37,698974.403930151,58517.7165781073
"56","os19_12f",2019-05-27 17:28:12,698974.608345279,58517.6629001206
"57","os19_12f",2019-05-28 08:50:47,698979.905091883,58526.2111805017
"58","os19_12f",2019-05-28 12:00:16,698980.283691612,58524.42845581
"59","os19_12f",2019-05-28 16:07:07,698973.593036362,58520.7093823475
"60","os19_12f",2019-05-29 07:55:53,698974.101817071,58514.6924011657
"61","os19_12f",2019-05-29 11:44:55,698972.273309736,58517.0145329185
"62","os19_12f",2019-05-29 14:25:12,698972.125839134,58515.9057845068
"63","os19_13f",2019-05-26 11:17:19,698973.159711615,58567.5776951024
