"","date","rain_daytime","rain_24h","rain_48h","rain_cumul"
"1",2016-01-01,4.242,NA,NA,NA
"2",2016-01-02,2.222,6.262,NA,8.484
"3",2016-01-03,0.808,2.424,8.686,3.232
"4",2016-01-04,0.808,2.02,4.444,2.828
"5",2016-01-05,0,0.808,2.828,0.808
"6",2016-01-06,8.484,0,0.808,8.484
"7",2016-01-07,1.818,8.686,8.686,10.504
"8",2016-01-08,0.202,2.222,10.908,2.424
"9",2016-01-09,0,0.404,2.626,0.404
"10",2016-01-10,0,0,0.404,0
"11",2016-01-11,0,0,0,0
"12",2016-01-12,0,0,0,0
"13",2016-01-13,0,0,0,0
"14",2016-01-14,0.404,0,0,0.404
"15",2016-01-15,0,0.606,0.606,0.606
"16",2016-01-16,1.616,0,0.606,1.616
"17",2016-01-17,2.02,3.838,3.838,5.858
"18",2016-01-18,7.676,2.424,6.262,10.1
"19",2016-01-19,0.404,7.676,10.1,8.08
"20",2016-01-20,0,0.404,8.08,0.404
"21",2016-01-21,0.202,0.202,0.606,0.404
"22",2016-01-22,0,0.404,0.606,0.404
"23",2016-01-23,0,0,0.404,0
"24",2016-01-24,5.656,0,0,5.656
"25",2016-01-25,0,6.666,6.666,6.666
"26",2016-01-26,0.404,0.202,6.868,0.606
"27",2016-01-27,2.02,1.01,1.212,3.03
"28",2016-01-28,0,2.828,3.838,2.828
"29",2016-01-29,2.626,0,2.828,2.626
"30",2016-01-30,0.606,3.434,3.434,4.04
"31",2016-01-31,9.494,4.04,7.474,13.534
"32",2016-02-01,11.918,9.898,13.938,21.816
"33",2016-02-02,0.202,19.392,29.29,19.594
"34",2016-02-03,11.11,0.404,19.796,11.514
"35",2016-02-04,3.03,11.514,11.918,14.544
"36",2016-02-05,0,4.444,15.958,4.444
"37",2016-02-06,1.01,0,4.444,1.01
"38",2016-02-07,14.34,12.726,12.726,27.066
"39",2016-02-08,6.06,17.572,30.298,23.632
"40",2016-02-09,0.202,7.474,25.046,7.676
"41",2016-02-10,1.01,1.01,8.484,2.02
"42",2016-02-11,0.808,1.616,2.626,2.424
"43",2016-02-12,0.202,0.808,2.424,1.01
"44",2016-02-13,11.312,0.404,1.212,11.716
"45",2016-02-14,1.212,13.13,13.534,14.342
"46",2016-02-15,0.202,1.212,14.342,1.414
"47",2016-02-16,0,0.202,1.414,0.202
"48",2016-02-17,0.606,0.202,0.404,0.808
"49",2016-02-18,10.908,1.212,1.414,12.12
"50",2016-02-19,0.202,16.16,17.372,16.362
"51",2016-02-20,2.424,0.202,16.362,2.626
"52",2016-02-21,21.614,2.424,2.626,24.038
"53",2016-02-22,1.01,43.636,46.06,44.646
"54",2016-02-23,1.616,11.716,55.352,13.332
"55",2016-02-24,0.606,4.646,16.362,5.252
"56",2016-02-25,0.202,3.434,8.08,3.636
"57",2016-02-26,2.424,0.202,3.636,2.626
"58",2016-02-27,18.382,3.03,3.232,21.412
"59",2016-02-28,5.454,28.078,31.108,33.532
"60",2016-02-29,0.202,5.454,33.532,5.656
"61",2016-03-01,0,0.202,5.656,0.202
"62",2016-03-02,0,0,0.202,0
"63",2016-03-03,1.616,0,0,1.616
"64",2016-03-04,8.686,1.616,1.616,10.302
"65",2016-03-05,0,8.686,10.302,8.686
"66",2016-03-06,0,0,8.686,0
"67",2016-03-07,0,0,0,0
"68",2016-03-08,NA,1.01,1.01,NA
"69",2016-03-09,NA,NA,NA,NA
"70",2016-03-10,NA,NA,NA,NA
"71",2016-03-11,NA,NA,NA,NA
"72",2016-03-12,NA,NA,NA,NA
"73",2016-03-13,NA,NA,NA,NA
"74",2016-03-14,NA,NA,NA,NA
"75",2016-03-15,NA,NA,NA,NA
"76",2016-03-16,NA,NA,NA,NA
"77",2016-03-17,NA,NA,NA,NA
"78",2016-03-18,NA,NA,NA,NA
"79",2016-03-19,11.716,NA,NA,NA
"80",2016-03-20,0,12.322,NA,12.322
"81",2016-03-21,2.222,0,12.322,2.222
"82",2016-03-22,0.606,2.222,2.222,2.828
"83",2016-03-23,7.676,0.808,3.03,8.484
"84",2016-03-24,0.202,8.686,9.494,8.888
"85",2016-03-25,6.262,0.202,8.888,6.464
"86",2016-03-26,18.584,9.898,10.1,28.482
"87",2016-03-27,1.01,23.028,32.926,24.038
"88",2016-03-28,1.414,1.01,24.038,2.424
"89",2016-03-29,28.078,1.616,2.626,29.694
"90",2016-03-30,17.776,28.684,30.3,46.46
"91",2016-03-31,10.706,25.452,54.136,36.158
