"","id","sex","trans_group","trans_dist","homing_prop","homing_bin","dt","x_utm","y_utm","x_new","y_new","dist2home","dist2release","duration","time_norm"
"61","af17_1","female","50m",63.1885761792024,-0.121840490139111,0,2017-02-02 18:14:00,313931,446705.9,-10.2000542959766,-6.96124215631949,70.887503272069,12.34908903522,74.4166666666667,90.2333333333333
"62","af17_10","female","200m",200.400781587323,0,0,2017-02-07 15:45:00,313978.8,446664.5,0,0,200.400781587323,0,0,15.75
"63","af17_10","female","200m",200.400781587323,-0.000498738614969962,0,2017-02-07 16:00:00,313978.8,446664.4,0.00323741030403491,-0.0999475821111582,200.500729195571,0.0999999999767169,0.25,16
"64","af17_10","female","200m",200.400781587323,-0.000498738614969962,0,2017-02-07 16:15:00,313978.8,446664.4,0.00323741030403491,-0.0999475821111582,200.500729195571,0.0999999999767169,0.5,16.25
"65","af17_10","female","200m",200.400781587323,0.0160791649036489,0,2017-02-07 18:44:00,313976.8,446667.8,-2.10578618274623,3.23352200432875,197.17850437336,3.85875627630499,2.98333333333333,18.7333333333333
"66","af17_10","female","200m",200.400781587323,0.0160791649036489,0,2017-02-08 06:30:00,313976.8,446667.8,-2.10578618274623,3.23352200432875,197.17850437336,3.85875627630499,14.75,30.5
"67","af17_10","female","200m",200.400781587323,0.0155590317146148,0,2017-02-08 07:55:00,313976.7,446667.7,-2.20249635455335,3.13033701191356,197.282739470972,3.82753184179789,16.1666666666667,31.9166666666667
"68","af17_10","female","200m",200.400781587323,0.0160135880275993,0,2017-02-08 08:30:00,313976.5,446667.8,-2.40562892913788,3.22380977341476,197.191646030575,4.02243707220755,16.75,32.5
"69","af17_10","female","200m",200.400781587323,0.0160135880275993,0,2017-02-08 09:15:00,313976.5,446667.8,-2.40562892913788,3.22380977341476,197.191646030575,4.02243707220755,17.5,33.25
"70","af17_10","female","200m",200.400781587323,0.0160135880275993,0,2017-02-08 09:54:00,313976.5,446667.8,-2.40562892913788,3.22380977341476,197.191646030575,4.02243707220755,18.15,33.9
"71","af17_10","female","200m",200.400781587323,0.0160135880275993,0,2017-02-08 10:35:00,313976.5,446667.8,-2.40562892913788,3.22380977341476,197.191646030575,4.02243707220755,18.8333333333333,34.5833333333333
"72","af17_10","female","200m",200.400781587323,0.0160135880275993,0,2017-02-08 11:30:00,313976.5,446667.8,-2.40562892913788,3.22380977341476,197.191646030575,4.02243707220755,19.75,35.5
"73","af17_10","female","200m",200.400781587323,0.0160135880275993,0,2017-02-08 12:01:00,313976.5,446667.8,-2.40562892913788,3.22380977341476,197.191646030575,4.02243707220755,20.2666666666667,36.0166666666667
"74","af17_10","female","200m",200.400781587323,0.0160135880275993,0,2017-02-08 12:23:00,313976.5,446667.8,-2.40562892913788,3.22380977341476,197.191646030575,4.02243707220755,20.6333333333333,36.3833333333333
"75","af17_10","female","200m",200.400781587323,0.0160135880275993,0,2017-02-08 13:32:00,313976.5,446667.8,-2.40562892913788,3.22380977341476,197.191646030575,4.02243707220755,21.7833333333333,37.5333333333333
"76","af17_10","female","200m",200.400781587323,0.0160135880275993,0,2017-02-08 13:48:00,313976.5,446667.8,-2.40562892913788,3.22380977341476,197.191646030575,4.02243707220755,22.05,37.8
