"","id","sex","trans_group","homing_bin","latency1","orient_dist1","orient_angle1","latency_daytime1","latency2","orient_dist2","orient_angle2","latency_daytime2"
"1","dt17_1","female","50m",1,0.3,7.94040301245019,44.4684511062912,0.3,18.9333333333333,38.7186001813202,11.6049015291767,18.9333333333333
"2","dt17_10","female","200m",0,0.816666666666667,10.475208828515,-163.905822539492,0.816666666666667,66.5666666666667,42.3254060819202,-177.437444404,22.5666666666667
"3","dt17_11","male","50m",1,0.316666666666667,5.37121960082541,-15.0329683220088,0.316666666666667,2.35,40.6509532483703,-2.17485034172364,2.35
"4","dt17_12","male","200m",0,97.7,8.68216562845581,1.90743379796759,49.7,66.2666666666667,40.5222161289624,-165.228315008701,22.2666666666667
"5","dt17_13","female","50m",1,0.533333333333333,5.74282160609969,-158.292933776896,0.533333333333333,2.2,38.424080990944,-21.6770167112443,2.2
"6","dt17_14","female","50m",1,25.9666666666667,7.91580697089665,-46.2608645711336,13.9666666666667,45.1333333333333,41.4135243610259,6.0505526372405,23.1333333333333
"7","dt17_15","male","50m",0,0.966666666666667,7.94795571201438,-143.325592709412,0.966666666666667,1.3,28.1300551012715,-5.08746266425907,1.3
"8","dt17_16","male","50m",1,0.266666666666667,6.67308024832895,-143.188280322895,0.266666666666667,1.08333333333333,35.7561183575364,-1.27092361951285,1.08333333333333
"9","dt17_18","female","200m",1,0.333333333333333,8.18840643840143,-158.069754043933,0.333333333333333,39.55,37.0621100316909,164.045327194737,17.55
"10","dt17_20","male","200m",0,24.95,9.6798760322869,150.100534956918,12.95,92.0166666666667,40.7155989763094,-142.339063746769,26.0166666666667
"11","dt17_24","male","200m",1,0.616666666666667,8.98721313868637,-136.670142858456,0.616666666666667,16.8166666666667,37.9475954442073,-2.2855130287299,16.8166666666667
"12","dt17_25","female","200m",1,22.7833333333333,9.25742944880574,69.3769586497703,22.7833333333333,38.9166666666667,25.2533166138646,56.9345457916449,16.9166666666667
"13","dt17_26","female","50m",1,0.8,5.40832691321859,-36.3964170639535,0.8,17.5166666666667,39.4851870959388,12.6251295547206,17.5166666666667
"14","dt17_30","male","50m",1,0.683333333333333,9.97296345127237,18.4170492643689,0.683333333333333,17.1,40.4316707545188,-6.13697740128071,17.1
"15","dt17_32","male","200m",0,0.916666666666667,8.36301381082718,54.3080051789145,0.916666666666667,15.2833333333333,50.760713154985,-125.4935908747,15.2833333333333
"16","dt17_33","male","50m",1,0.366666666666667,7.98310716449792,-24.1174337001495,0.366666666666667,1.33333333333333,39.7246774687852,-1.56247162409254,1.33333333333333
"17","dt17_34","female","200m",1,41.1166666666667,12.0220630509037,-53.328907886818,29.1166666666667,19.1333333333333,41.0235298334526,-146.310127404375,19.1333333333333
"18","dt17_35","male","200m",1,0.283333333333333,6.28171950984968,77.8851096802811,0.283333333333333,1.95,39.1081832868539,-89.471993599452,1.95
"19","dt17_4","male","200m",1,64.65,10.4623133196907,-13.3551305606907,40.65,20.95,39.5979797464467,-116.639997045492,20.95
"20","dt17_5","female","200m",0,22.3333333333333,10.0184829190434,89.7072991601758,22.3333333333333,68.7833333333333,40.7921561087423,-74.2702738217033,24.7833333333333
"21","dt17_6","female","50m",1,1.16666666666667,7.48131004572684,-77.5748404589672,1.16666666666667,2.28333333333333,41.1096095821889,2.44523839508566,2.28333333333333
"22","dt17_7","male","50m",1,2.05,10.9895404817099,24.9314454947848,2.05,18.5666666666667,47.8775521513025,-0.519773714040229,18.5666666666667
"23","dt17_8","female","50m",1,15.8833333333333,8.48115558161133,-44.5641056685415,15.8833333333333,16.6166666666667,41.3348521226648,1.50958047521374,16.6166666666667
"24","dt17_9","male","50m",1,0.6,5.66392090340334,174.654360945396,0.6,1.55,40.7942397894645,-12.8809629188602,1.55
"25","dt19_10","female","50m",1,65.9,11.768602295921,-36.031884711223,41.9,66.9166666666667,41.8890200410446,3.48305886265784,22.9166666666667
"26","dt19_11","female","50m",1,1.16666666666667,12.3709336753633,-4.77479559605323,1.16666666666667,2.45,33.9530558271106,1.76243096020172,2.45
"27","dt19_12","male","50m",1,0.583333333333333,11.8532695911302,4.59146607386943,0.583333333333333,2.81666666666667,45.2452207421004,5.66307916928419,2.81666666666667
"28","dt19_16","female","50m",1,1.73333333333333,14.6778745055161,62.0376219491672,1.73333333333333,19.3833333333333,42.189335145261,11.4835294449698,19.3833333333333
"29","dt19_17","female","50m",1,0.616666666666667,9.35200513260026,-20.0925571985551,0.616666666666667,43.55,37.1952954014444,-10.3656744139297,21.55
"30","dt19_19","male","50m",1,43.0166666666667,10.4995237987289,44.6135383754867,31.0166666666667,15.4333333333333,40.39851482414,146.675841382743,15.4333333333333
"31","dt19_2","female","50m",1,0.45,5.70087712549569,-41.4075962977722,0.45,1.08333333333333,35.0772005724213,-49.3553576778038,1.08333333333333
"32","dt19_20","male","50m",1,0.85,9.77394495580595,26.3727809896085,0.85,40.5333333333333,38.110497241539,13.2957305876677,18.5333333333333
"33","dt19_23","male","200m",0,51.3,10.6470653233418,128.481222170171,27.3,50.0833333333333,43.2500867050903,127.866553594511,6.08333333333334
"34","dt19_24","female","200m",0,17.3,9.68968523741385,176.792754670403,17.3,93.3833333333333,37.5479693192672,-41.6552961230302,27.3833333333333
"35","dt19_25","female","200m",0,41.3166666666667,9.84784240327207,91.2716751195331,29.3166666666667,136.05,25.7163372197555,66.2862174768307,26.05
"36","dt19_28","female","200m",0,1.13333333333333,10.5152270540924,46.635989025984,1.13333333333333,137,38.8665666093725,-101.316572607744,27
"37","dt19_29","male","200m",1,26.0833333333333,10.360019304999,167.862142010599,14.0833333333333,41.1666666666667,40.4400791295226,38.5517587511518,19.1666666666667
"38","dt19_30","female","200m",0,41.9666666666667,10.2342562016071,-104.084419207438,29.9666666666667,43.2833333333333,31.3588902865039,160.024503366719,21.2833333333333
"39","dt19_32","female","200m",0,94.7666666666667,10.0999999999767,-48.0533992184948,58.7666666666667,23.3666666666667,21.966565503058,97.8948222811681,23.3666666666667
"40","dt19_33","female","200m",0,23.6333333333333,9.87167665594348,-79.2607299751398,23.6333333333333,87.75,25.2578700606148,-86.6622186889117,21.75
"41","dt19_34","male","200m",0,19.2166666666667,11.8848643240047,58.4872162114232,19.2166666666667,21.0166666666667,38.9647276392628,80.5103361447268,21.0166666666667
"42","dt19_36","male","200m",0,1.28333333333333,10.4737767782137,177.766433162198,1.28333333333333,2.06666666666667,40.7707002638182,115.453046071748,2.06666666666667
"43","dt19_37","female","200m",0,48.4166666666667,13.5624481565732,12.6003280458671,24.4166666666667,21.3833333333333,39.8302648748181,169.185033008173,21.3833333333333
"44","dt19_38","male","200m",1,2.15,9.34772699639648,92.394119587257,2.15,20.05,39.7120888395651,16.4457111079723,20.05
"45","dt19_39","female","200m",1,15.5666666666667,5.3338541412302,129.978632184742,15.5666666666667,42.2833333333333,47.762432936357,-13.6012805910249,20.2833333333333
"46","dt19_4","male","200m",1,1.2,13.1946959040375,-110.266484297959,1.2,2.13333333333333,40.0391058841283,-92.1347103227288,2.13333333333333
"47","dt19_40","female","200m",0,1.15,9.95389371050976,94.6732965906365,1.15,40.1333333333333,40.3251782389128,-106.075210721618,18.1333333333333
"48","dt19_42","male","200m",1,0.833333333333333,5.68506816141584,-108.484665899354,0.833333333333333,15.2666666666667,37.9811795498877,-76.8291848205148,15.2666666666667
