id,species,sex,size,weight
af17_1,af,female,28.5,2.19
af17_10,af,female,26,2.25
af17_11,af,male,27.5,2.05
af17_14,af,female,30.1,1.99
af17_15,af,male,28.2,1.83
af17_18,af,female,29.7,1.96
af17_19,af,male,28,2.05
af17_20,af,female,27.5,2.2
af17_21,af,male,26,1.7
af17_22,af,female,29,1.94
af17_23,af,male,25.5,1.9
af17_24,af,female,29.6,2.03
af17_26,af,male,28.6,1.75
af17_27,af,female,27.5,1.68
af17_28,af,male,27,2
af17_29,af,female,28,2.22
af17_3,af,female,27.6,2.38
af17_30,af,male,26.5,1.75
af17_31,af,female,28.3,1.78
af17_32,af,male,27.4,1.85
af17_33,af,female,28.2,2.25
af17_34,af,male,27.6,1.8
af17_4,af,male,25.4,1.73
af17_5,af,male,27.1,1.93
af17_6,af,female,28.9,2.2
af17_7,af,male,28.2,1.99
af17_8,af,female,30.5,2.24
af17_9,af,male,29,1.81
af20_1,af,female,26.4,1.8
af20_10,af,male,28,2.35
af20_11,af,female,28.8,2.15
af20_12,af,male,25.5,1.78
af20_13,af,female,25,1.7
af20_14,af,male,26,1.82
af20_17,af,male,26.9,2.1
af20_18,af,male,25.6,1.81
af20_19,af,male,27,1.91
af20_2,af,female,28,2.25
af20_20,af,female,27,2.17
af20_24,af,female,26.4,1.72
af20_25,af,female,26.8,1.74
af20_26,af,male,25.5,1.7
af20_27,af,female,27.5,2.25
af20_28,af,male,26,NA
af20_29,af,female,25.5,1.8
af20_3,af,male,27,1.88
af20_30,af,male,26.5,1.85
af20_31,af,female,28.8,2.17
af20_32,af,female,25.5,1.9
af20_33,af,female,25,1.8
af20_34,af,male,26.5,2.1
af20_35,af,male,25,1.65
af20_36,af,female,27.5,2.05
af20_37,af,female,26.5,1.8
af20_38,af,male,26.5,1.85
af20_39,af,male,25.8,1.9
af20_4,af,female,26.5,1.9
af20_40,af,male,26.8,1.65
af20_41,af,female,27.8,2
af20_5,af,male,25.6,1.65
af20_6,af,female,27.8,2
af20_7,af,male,27,1.8
af20_8,af,female,27.5,2.1
af20_9,af,male,26.8,1.76
