"","id","dt","x_utm","y_utm"
"1","af17_1",2017-01-27 16:20:00,313985.061978588,446760.759806751
"2","af17_1",2017-01-27 18:40:00,313987.017750464,446759.684275644
"3","af17_1",2017-01-28 08:30:00,313986.720764203,446758.760939234
"4","af17_1",2017-01-28 09:30:00,313985.900885544,446758.999110167
"5","af17_1",2017-01-28 10:50:00,313985.876283945,446759.237922185
"6","af17_1",2017-01-28 11:30:00,313985.841155297,446759.261347688
"7","af17_1",2017-01-28 15:30:00,313985.950903971,446759.362257409
"8","af17_1",2017-01-28 16:50:00,313986.246355211,446758.714528104
"9","af17_1",2017-01-28 18:33:00,313986.38357249,446759.444549292
"10","af17_1",2017-01-29 10:31:00,313977.560016023,446749.281271016
"11","af17_1",2017-01-29 10:55:00,313977.50850634,446749.317455251
"12","af17_1",2017-01-29 11:42:00,313977.50884244,446749.322731562
"13","af17_1",2017-01-30 10:15:00,313983.075850255,446743.752763819
"14","af17_1",2017-01-30 14:10:00,313980.250441718,446739.369325047
"15","af17_1",2017-01-30 15:15:00,313980.504167909,446738.911017388
"16","af17_10",2017-02-05 16:23:00,313988.35018589,446864.767762691
"17","af17_10",2017-02-07 08:59:00,313984.267098846,446864.806515157
"18","af17_10",2017-02-07 11:10:00,313984.266170529,446864.804284326
"19","af17_10",2017-02-07 14:15:00,313984.267726951,446864.804380926
"20","af17_11",2017-02-05 16:40:00,313991.7926746,446863.129510014
"21","af17_11",2017-02-06 08:16:00,313991.68151636,446863.164456224
"22","af17_11",2017-02-06 10:18:00,313991.68148076,446863.16442801
"23","af17_11",2017-02-07 08:46:00,314000.906442052,446874.688373829
"24","af17_11",2017-02-07 11:01:00,314000.903308139,446874.689412501
"25","af17_11",2017-02-07 13:55:00,314000.903069229,446874.687895082
"26","af17_11",2017-02-07 15:05:00,314004.268903522,446874.728554791
"27","af17_12",2017-02-08 17:45:00,313955.905308731,446832.305595733
"28","af17_12",2017-02-09 18:10:00,313955.650331532,446831.866966528
"29","af17_12",2017-02-10 07:50:00,313953.026359275,446836.078676161
"30","af17_12",2017-02-10 16:57:00,313953.029441008,446836.63721255
"31","af17_12",2017-02-10 18:26:00,313953.030056844,446836.637423604
"32","af17_12",2017-02-11 09:00:00,313950.466402593,446836.111738654
"33","af17_12",2017-02-11 13:00:00,313951.020791438,446836.063592875
"34","af17_12",2017-02-11 16:29:00,313951.047042029,446836.04863206
"35","af17_12",2017-02-12 08:58:00,313949.966469871,446836.317746199
"36","af17_12",2017-02-12 14:07:00,313949.968455845,446836.314895338
"37","af17_12",2017-02-13 08:29:00,313949.968591668,446836.314863219
"38","af17_12",2017-02-13 10:09:00,313949.962490156,446836.305128885
"39","af17_13",2017-02-08 17:45:00,313953.435976665,446833.595008022
"40","af17_13",2017-02-09 18:08:00,313959.008584948,446843.193153224
"41","af17_13",2017-02-10 07:45:00,313957.888066459,446841.501736497
"42","af17_13",2017-02-10 17:00:00,313954.507270856,446839.332310474
"43","af17_13",2017-02-10 18:28:00,313954.509528441,446839.372543081
"44","af17_13",2017-02-11 09:00:00,313954.065453859,446837.346059416
"45","af17_13",2017-02-11 13:02:00,313954.090272504,446837.075449522
"46","af17_13",2017-02-11 16:29:00,313954.223758792,446837.373749386
"47","af17_13",2017-02-12 09:02:00,313958.06083388,446839.729758557
"48","af17_13",2017-02-12 14:12:00,313958.164893643,446841.140650413
"49","af17_13",2017-02-13 08:30:00,313958.232663032,446841.754094346
"50","af17_13",2017-02-13 09:57:00,313958.260003643,446841.686799908
"51","af17_14",2017-02-16 10:40:00,314006.112381205,446876.687188572
"52","af17_14",2017-02-16 16:11:00,314004.048608276,446874.670901207
"53","af17_15",2017-02-16 13:55:00,313977.051291122,446848.460618046
"54","af17_15",2017-02-16 16:07:00,313976.466999438,446849.356383406
"55","af17_16",2017-02-16 11:58:00,313930.428216137,446862.519115828
"56","af17_16",2017-02-17 09:19:00,313933.357037853,446864.591254179
"57","af17_17",2017-02-16 12:35:00,313924.227745647,446852.164967133
"58","af17_17",2017-02-17 09:20:00,313928.278613544,446853.019100074
"59","af17_17",2017-02-17 16:50:00,313928.278915072,446853.009783832
"60","af17_18",2017-02-17 17:08:00,313927.972546054,446864.188023786
"61","af17_18",2017-02-18 11:21:00,313925.724369011,446869.86031296
"62","af17_18",2017-02-18 14:23:00,313925.724373197,446869.860188593
"63","af17_18",2017-02-18 15:56:00,313926.388559251,446869.465668783
"64","af17_19",2017-02-18 14:02:00,313915.67006402,446863.444671873
"65","af17_19",2017-02-18 16:03:00,313916.265537566,446862.400005276
"66","af17_2",2017-01-27 16:20:00,313985.635953753,446762.385631777
"67","af17_2",2017-01-27 18:40:00,313987.928564945,446761.725160064
"68","af17_20",2017-02-19 11:42:00,313987.916791209,446687.554917996
"69","af17_20",2017-02-19 16:21:00,313992.05281715,446688.164427272
"70","af17_20",2017-02-19 18:40:00,313999.104565775,446691.696801079
"71","af17_20",2017-02-20 07:58:00,313999.129679364,446691.818748612
"72","af17_20",2017-02-20 13:00:00,313999.571604716,446691.516048592
"73","af17_20",2017-02-20 15:15:00,313999.65764075,446691.47766385
"74","af17_21",2017-02-20 14:30:00,313999.473682054,446691.419612907
"75","af17_21",2017-02-20 15:00:00,313999.473734473,446691.419469703
"76","af17_22",2017-02-22 11:30:00,313966.348411329,446705.702185818
"77","af17_22",2017-02-23 11:39:00,313963.574325535,446703.251267958
"78","af17_22",2017-02-23 15:06:00,313956.820504927,446700.693998903
"79","af17_23",2017-02-23 14:30:00,313961.823709743,446692.111991999
"80","af17_23",2017-02-23 14:30:00,313961.824311054,446692.11199076
"81","af17_24",2017-02-24 08:28:00,313973.223136132,446684.119299978
"82","af17_24",2017-02-24 18:38:00,313972.331589693,446686.556690535
"83","af17_24",2017-02-25 08:29:00,313971.715505772,446687.043959263
"84","af17_24",2017-02-25 15:30:00,313973.215636901,446684.129665448
"85","af17_25",2017-02-24 11:30:00,313959.4711039,446684.425202161
"86","af17_25",2017-02-24 18:35:00,313959.953673343,446682.680515779
"87","af17_25",2017-02-25 08:32:00,313960.992899691,446683.099493682
"88","af17_26",2017-02-25 15:00:00,313950.668262974,446688.627621718
"89","af17_26",2017-02-25 15:15:00,313950.698057337,446688.60801436
"90","af17_27",2017-02-26 15:05:00,313936.728364276,446817.010634887
"91","af17_27",2017-02-26 18:28:00,313939.801122354,446813.638563293
"92","af17_27",2017-02-27 10:33:00,313939.712098949,446813.617897823
"93","af17_27",2017-02-27 12:31:00,313939.711535649,446813.616638849
"94","af17_27",2017-02-27 15:47:00,313938.052299475,446812.143534922
"95","af17_28",2017-02-26 18:10:00,313961.405743497,446822.867999057
"96","af17_28",2017-02-27 08:28:00,313961.436617599,446822.857823586
"97","af17_28",2017-02-27 12:32:00,313962.500505666,446822.7673286
"98","af17_28",2017-02-27 15:51:00,313963.41012276,446822.217165284
"99","af17_29",2017-02-27 14:00:00,313976.83380004,446707.847550102
"100","af17_29",2017-02-28 09:36:00,313975.38044539,446711.596039247
"101","af17_29",2017-02-28 13:05:00,313975.828142905,446710.940212334
"102","af17_29",2017-02-28 16:23:00,313973.376649872,446710.017483621
"103","af17_3",2017-01-27 16:15:00,313969.367600404,446719.92389569
"104","af17_3",2017-01-27 18:15:00,313965.77342479,446714.05263684
"105","af17_3",2017-01-28 08:45:00,313966.300481831,446708.819544145
"106","af17_3",2017-01-28 09:45:00,313966.293392406,446708.828581712
"107","af17_3",2017-01-28 10:45:00,313966.316996964,446708.901943828
"108","af17_3",2017-01-28 11:45:00,313966.350769015,446708.946291827
"109","af17_3",2017-01-28 15:20:00,313966.309280191,446708.95763311
"110","af17_3",2017-01-28 16:20:00,313966.708314636,446707.856322594
"111","af17_3",2017-01-28 16:43:00,313966.172856588,446708.976387054
"112","af17_3",2017-01-28 17:35:00,313966.036078096,446708.922359621
"113","af17_3",2017-01-28 18:18:00,313966.393921167,446708.849424745
"114","af17_3",2017-01-28 18:45:00,313966.427834265,446708.924695234
"115","af17_3",2017-01-29 09:44:00,313966.207870834,446708.830703403
"116","af17_3",2017-01-29 10:45:00,313966.346192917,446708.882333881
"117","af17_3",2017-01-29 12:30:00,313965.270095176,446710.925890818
"118","af17_3",2017-01-29 15:31:00,313969.189456398,446713.466744695
"119","af17_30",2017-02-28 07:30:00,313955.056060972,446723.865320682
"120","af17_30",2017-02-28 07:43:00,313955.147490071,446718.265067086
"121","af17_30",2017-02-28 07:48:00,313955.396920598,446717.305566127
"122","af17_30",2017-02-28 12:20:00,313951.298339875,446708.56373529
"123","af17_30",2017-02-28 16:28:00,313951.276756002,446708.433591364
"124","af17_31",2017-03-01 13:20:00,313917.224511088,446859.455645863
"125","af17_31",2017-03-01 18:03:00,313917.217513594,446859.460367611
"126","af17_31",2017-03-02 08:16:00,313917.224534581,446859.46260077
"127","af17_31",2017-03-02 15:35:00,313917.219141632,446859.459994413
"128","af17_32",2017-03-01 16:50:00,313916.913911316,446891.267185106
"129","af17_32",2017-03-01 18:06:00,313915.991608783,446891.240691782
"130","af17_32",2017-03-02 08:20:00,313915.992969125,446891.243061977
"131","af17_32",2017-03-02 15:37:00,313917.084585288,446891.256907171
"132","af17_33",2017-03-03 18:30:00,314047.385448573,446734.833818021
"133","af17_33",2017-03-04 10:21:00,314048.970931571,446736.665150777
"134","af17_33",2017-03-04 17:43:00,314048.910587074,446736.637557008
"135","af17_33",2017-03-05 08:33:00,314050.16248035,446738.196187802
"136","af17_33",2017-03-05 18:45:00,314049.343730208,446736.89178927
"137","af17_33",2017-03-06 08:21:00,314051.252143633,446736.975889306
"138","af17_33",2017-03-06 14:53:00,314051.167282217,446736.565027883
"139","af17_34",2017-03-05 18:18:00,314014.916673128,446686.552975814
