"","id","dt","x_utm","y_utm","sex"
"1","dt17_1",2017-03-01 16:54:00,313689.747763237,447448.237784629,"female"
"2","dt17_1",2017-03-01 16:55:00,313688.017582947,447445.771078708,"female"
"3","dt17_1",2017-03-01 17:00:00,313685.98435759,447441.452920334,"female"
"4","dt17_1",2017-03-01 17:12:00,313685.610508706,447441.387606472,"female"
"5","dt17_1",2017-03-01 17:32:00,313685.928179069,447441.527869337,"female"
"6","dt17_1",2017-03-01 18:00:00,313688.19496069,447441.057543944,"female"
"7","dt17_1",2017-03-01 18:48:00,313686.914444818,447441.334513951,"female"
"8","dt17_1",2017-03-02 07:52:00,313686.926825233,447441.405628226,"female"
"9","dt17_1",2017-03-02 09:01:00,313686.506660662,447441.219499467,"female"
"10","dt17_1",2017-03-02 10:11:00,313688.883467184,447444.172327297,"female"
"11","dt17_1",2017-03-02 11:50:00,313690.884070508,447409.481738639,"female"
"12","dt17_10",2017-03-08 15:46:00,313814.075366422,447490.301200941,"female"
"13","dt17_10",2017-03-08 16:02:00,313817.056081989,447489.93413822,"female"
"14","dt17_10",2017-03-08 16:09:00,313820.20566924,447493.018470434,"female"
"15","dt17_10",2017-03-08 16:35:00,313823.893504744,447493.982577927,"female"
"16","dt17_10",2017-03-08 17:29:00,313827.020901606,447493.889007253,"female"
"17","dt17_10",2017-03-08 17:42:00,313827.034247746,447493.909597362,"female"
"18","dt17_10",2017-03-08 18:27:00,313828.59843864,447500.685856583,"female"
"19","dt17_10",2017-03-09 08:40:00,313828.593511566,447500.877027499,"female"
"20","dt17_10",2017-03-09 10:15:00,313830.492539794,447504.381989099,"female"
"21","dt17_10",2017-03-09 11:20:00,313830.426565208,447504.502655677,"female"
"22","dt17_10",2017-03-09 12:46:00,313830.312701294,447503.984080018,"female"
"23","dt17_10",2017-03-09 14:09:00,313828.708094783,447500.948528496,"female"
"24","dt17_10",2017-03-09 15:44:00,313827.948144529,447498.58652207,"female"
"25","dt17_10",2017-03-09 17:09:00,313828.654443067,447500.800141738,"female"
"26","dt17_10",2017-03-09 19:22:00,313829.483489354,447502.636763598,"female"
"27","dt17_10",2017-03-10 08:37:00,313808.334377535,447490.364433772,"female"
"28","dt17_10",2017-03-10 09:55:00,313872.352232632,447491.901277604,"female"
"29","dt17_10",2017-03-10 11:23:00,313866.226905094,447501.204887765,"female"
"30","dt17_10",2017-03-10 12:38:00,313881.360051125,447504.743497795,"female"
"31","dt17_10",2017-03-10 14:25:00,313881.302546302,447504.672370614,"female"
"32","dt17_10",2017-03-10 15:59:00,313881.286600119,447505.427510472,"female"
"33","dt17_10",2017-03-10 17:03:00,313882.057629863,447504.704747427,"female"
"34","dt17_10",2017-03-10 18:33:00,313882.178410336,447505.165431077,"female"
"35","dt17_10",2017-03-11 08:40:00,313838.272645728,447500.678590332,"female"
"36","dt17_10",2017-03-11 09:28:00,313825.976359049,447514.632811216,"female"
"37","dt17_10",2017-03-11 09:32:00,313838.054276211,447500.816014303,"female"
"38","dt17_10",2017-03-11 10:20:00,313849.147151551,447514.093558123,"female"
"39","dt17_10",2017-03-11 11:11:00,313852.308457161,447519.840986952,"female"
"40","dt17_10",2017-03-11 12:51:00,313878.238595346,447503.674884608,"female"
"41","dt17_10",2017-03-11 14:54:00,313881.369070093,447505.487313746,"female"
"42","dt17_10",2017-03-11 16:10:00,313881.160795952,447505.531470846,"female"
"43","dt17_10",2017-03-11 18:22:00,313882.196212437,447505.309537503,"female"
"44","dt17_10",2017-03-12 08:34:00,313882.03179509,447506.008150682,"female"
"45","dt17_10",2017-03-12 10:01:00,313882.806485603,447504.812411104,"female"
"46","dt17_10",2017-03-12 11:52:00,313883.643981453,447503.863476718,"female"
"47","dt17_10",2017-03-12 12:48:00,313881.956211116,447504.772585716,"female"
"48","dt17_10",2017-03-12 13:50:00,313882.774370437,447504.96030905,"female"
"49","dt17_10",2017-03-12 15:32:00,313882.614216942,447504.833730251,"female"
"50","dt17_10",2017-03-12 16:39:00,313882.713654641,447504.901423136,"female"
"51","dt17_10",2017-03-12 17:58:00,313882.826937973,447505.022458534,"female"
