"","date","rain_daytime","rain_24h","rain_48h","rain_cumul"
"1",2019-02-01,1.01,NA,NA,NA
"2",2019-02-02,4.242,1.01,NA,5.252
"3",2019-02-03,2.222,9.696,10.706,11.918
"4",2019-02-04,0.606,2.424,12.12,3.03
"5",2019-02-05,0,1.01,3.434,1.01
"6",2019-02-06,8.484,0.202,1.212,8.686
"7",2019-02-07,5.656,12.322,12.524,17.978
"8",2019-02-08,5.858,5.656,17.978,11.514
"9",2019-02-09,1.818,6.868,12.524,8.686
"10",2019-02-10,7.07,5.454,12.322,12.524
"11",2019-02-11,6.464,10.504,15.958,16.968
"12",2019-02-12,11.11,7.474,17.978,18.584
"13",2019-02-13,1.818,12.524,19.998,14.342
"14",2019-02-14,0.404,3.434,15.958,3.838
"15",2019-02-15,0,0.404,3.838,0.404
"16",2019-02-16,0.202,0,0.404,0.202
"17",2019-02-17,0,0.202,0.202,0.202
"18",2019-02-18,0.202,0,0.202,0.202
"19",2019-02-19,1.414,0.202,0.202,1.616
"20",2019-02-20,5.454,1.818,2.02,7.272
"21",2019-02-21,0.202,5.454,7.272,5.656
"22",2019-02-22,1.212,0.202,5.656,1.414
"23",2019-02-23,0.606,1.212,1.414,1.818
"24",2019-02-24,0.202,0.606,1.818,0.808
"25",2019-02-25,1.414,0.606,1.212,2.02
"26",2019-02-26,0,1.414,2.02,1.414
"27",2019-02-27,0,0.404,1.818,0.404
"28",2019-02-28,0,0,0.404,0
"29",2019-03-01,0.404,0,0,0.404
"30",2019-03-02,1.818,0.404,0.404,2.222
"31",2019-03-03,2.222,2.828,3.232,5.05
"32",2019-03-04,0,2.424,5.252,2.424
"33",2019-03-05,0,0,2.424,0
"34",2019-03-06,12.722,0,0,12.722
"35",2019-03-07,0.202,12.924,12.924,13.126
"36",2019-03-08,0,0.202,13.126,0.202
"37",2019-03-09,1.616,0,0.202,1.616
"38",2019-03-10,2.02,2.02,2.02,4.04
"39",2019-03-11,7.272,2.02,4.04,9.292
"40",2019-03-12,1.212,7.474,9.494,8.686
"41",2019-03-13,2.626,1.212,8.686,3.838
"42",2019-03-14,5.656,4.04,5.252,9.696
"43",2019-03-15,0,5.656,9.696,5.656
"44",2019-03-16,0,0,5.656,0
"45",2019-03-17,0,0.202,0.202,0.202
"46",2019-03-18,0,0,0.202,0
"47",2019-03-19,2.424,0,0,2.424
"48",2019-03-20,4.444,2.424,2.424,6.868
"49",2019-03-21,0.202,4.444,6.868,4.646
"50",2019-03-22,0,0.202,4.646,0.202
"51",2019-03-23,0,0,0.202,0
"52",2019-03-24,2.828,0,0,2.828
"53",2019-03-25,0.202,2.828,2.828,3.03
"54",2019-03-26,1.414,0.202,3.03,1.616
"55",2019-03-27,8.682,1.414,1.616,10.096
"56",2019-03-28,0.404,9.086,10.5,9.49
"57",2019-03-29,0,0.404,9.49,0.404
"58",2019-03-30,0,0,0.404,0
"59",2019-03-31,4.242,0,0,4.242
