"","date","rain_daytime","rain_24h","rain_48h","rain_cumul"
"1",2017-01-01,23.432,NA,NA,NA
"2",2017-01-02,4.04,23.432,NA,27.472
"3",2017-01-03,24.44,4.04,27.472,28.48
"4",2017-01-04,15.152,24.844,28.884,39.996
"5",2017-01-05,10.912,28.282,53.126,39.194
"6",2017-01-06,4.646,10.912,39.194,15.558
"7",2017-01-07,7.474,5.858,16.77,13.332
"8",2017-01-08,4.646,7.474,13.332,12.12
"9",2017-01-09,0.202,4.646,12.12,4.848
"10",2017-01-10,0,0.202,4.848,0.202
"11",2017-01-11,2.828,0.202,0.404,3.03
"12",2017-01-12,9.09,11.716,11.918,20.806
"13",2017-01-13,3.434,11.514,23.23,14.948
"14",2017-01-14,5.05,5.252,16.766,10.302
"15",2017-01-15,9.898,5.252,10.504,15.15
"16",2017-01-16,0.202,10.504,15.756,10.706
"17",2017-01-17,9.09,3.232,13.736,12.322
"18",2017-01-18,34.744,10.1,13.332,44.844
"19",2017-01-19,1.414,34.946,45.046,36.36
"20",2017-01-20,0.202,1.616,36.562,1.818
"21",2017-01-21,2.828,2.626,4.242,5.454
"22",2017-01-22,0.606,2.828,5.454,3.434
"23",2017-01-23,6.666,0.808,3.636,7.474
"24",2017-01-24,0.202,6.666,7.474,6.868
"25",2017-01-25,11.108,0.404,7.07,11.512
"26",2017-01-26,11.11,11.31,11.714,22.42
"27",2017-01-27,3.232,16.968,28.278,20.2
"28",2017-01-28,16.362,16.16,33.128,32.522
"29",2017-01-29,30.304,16.564,32.724,46.868
"30",2017-01-30,23.632,70.304,86.868,93.936
"31",2017-01-31,5.05,23.632,93.936,28.682
"32",2017-02-01,0.404,5.454,29.086,5.858
"33",2017-02-02,2.828,0.404,5.858,3.232
"34",2017-02-03,0,4.242,4.646,4.242
"35",2017-02-04,4.646,0.202,4.444,4.848
"36",2017-02-05,45.446,10.1,10.302,55.546
"37",2017-02-06,11.312,52.718,62.818,64.03
"38",2017-02-07,2.222,11.716,64.434,13.938
"39",2017-02-08,0.404,2.222,13.938,2.626
"40",2017-02-09,0,0.404,2.626,0.404
"41",2017-02-10,0,0,0.404,0
"42",2017-02-11,0,1.212,1.212,1.212
"43",2017-02-12,0.202,0,1.212,0.202
"44",2017-02-13,0,0.202,0.202,0.202
"45",2017-02-14,2.222,0,0.202,2.222
"46",2017-02-15,11.514,3.434,3.434,14.948
"47",2017-02-16,39.596,32.522,35.956,72.118
"48",2017-02-17,10.302,98.374,130.896,108.676
"49",2017-02-18,0.606,10.302,108.676,10.908
"50",2017-02-19,0.808,1.01,11.312,1.818
"51",2017-02-20,9.292,0.808,1.818,10.1
"52",2017-02-21,3.636,15.352,16.16,18.988
"53",2017-02-22,8.686,4.444,19.796,13.13
"54",2017-02-23,5.454,8.888,13.332,14.342
"55",2017-02-24,2.424,23.432,32.32,25.856
"56",2017-02-25,10.706,2.424,25.856,13.13
"57",2017-02-26,7.07,11.312,13.736,18.382
"58",2017-02-27,37.164,7.07,18.382,44.234
"59",2017-02-28,13.938,37.164,44.234,51.102
"60",2017-03-01,3.434,14.746,51.91,18.18
"61",2017-03-02,3.434,4.04,18.786,7.474
"62",2017-03-03,5.454,3.636,7.676,9.09
"63",2017-03-04,12.928,7.07,10.706,19.998
"64",2017-03-05,2.424,14.948,22.018,17.372
"65",2017-03-06,0,2.424,17.372,2.424
"66",2017-03-07,7.878,0,2.424,7.878
"67",2017-03-08,11.312,14.544,14.544,25.856
"68",2017-03-09,23.634,27.674,42.218,51.308
"69",2017-03-10,0,50.096,77.77,50.096
"70",2017-03-11,0,0,50.096,0
"71",2017-03-12,0.202,0,0,0.202
"72",2017-03-13,0,0.202,0.202,0.202
"73",2017-03-14,0.808,0,0.202,0.808
"74",2017-03-15,2.222,4.646,4.646,6.868
"75",2017-03-16,3.838,2.626,7.272,6.464
"76",2017-03-17,7.676,5.252,7.878,12.928
"77",2017-03-18,3.434,11.514,16.766,14.948
"78",2017-03-19,12.12,4.242,15.756,16.362
"79",2017-03-20,34.138,12.524,16.766,46.662
"80",2017-03-21,8.282,56.156,68.68,64.438
"81",2017-03-22,NA,8.686,64.842,NA
"82",2017-03-23,NA,NA,NA,NA
"83",2017-03-24,0.404,NA,NA,NA
"84",2017-03-25,1.818,0.404,NA,2.222
"85",2017-03-26,NA,2.424,2.828,NA
"86",2017-03-27,0.202,NA,NA,NA
"87",2017-03-28,6.262,12.93,NA,19.192
"88",2017-03-29,0,6.464,19.394,6.464
"89",2017-03-30,6.666,0,6.464,6.666
"90",2017-03-31,0.202,11.11,11.11,11.312
