"","id","sex","trans_group","homing_bin","latency1","orient_dist1","orient_angle1","latency_daytime1","latency2","orient_dist2","orient_angle2","latency_daytime2"
"1","os19_12f","female","50m",1,17.4205555555556,11.2000000000698,-43.3484867031566,17.4205555555556,42.07,38.394270405901,-75.7967881524087,20.07
"2","os19_14f","female","50m",1,1.11722222222222,10.1651364968605,-31.1502832632436,1.11722222222222,16.2952777777778,41.9686787973404,0.86036727881358,16.2952777777778
"3","os19_15m","male","50m",1,15.9366666666667,14.7597425451466,11.2118756453838,15.9366666666667,48.3105555555556,38.0522009875743,-2.62593439061346,4.31055555555555
"4","os19_16m","male","50m",1,16.7238888888889,9.28493403315824,-22.2724779282777,16.7238888888889,42.2727777777778,46.3590336396415,-3.44101028549907,20.2727777777778
"5","os19_19f","female","50m",0,72.6977777777778,9.90201999587512,31.9144218549155,36.6977777777778,87.8566666666667,21.048752932121,22.3865697178736,21.8566666666667
"6","os19_1f","female","50m",1,2.28388888888889,7.10633520175281,-21.5180104982724,2.28388888888889,65.1408333333333,43.1060320604452,0.135089731934674,21.1408333333333
"7","os19_20m","male","50m",1,14.7452777777778,11.7991525119185,18.6961305228083,14.7452777777778,63.5213888888889,41.4773432128774,0.622519656180657,19.5213888888889
"8","os19_21f","female","50m",0,21.7363888888889,10.0498756211209,-118.140472258581,21.7363888888889,NA,NA,NA,NA
"9","os19_22f","female","200m",0,14.4055555555556,10.6367288204524,-3.2180751570247,14.4055555555556,113.696388888889,30.5659941765487,-25.2688484174788,25.6963888888889
"10","os19_23f","female","50m",1,17.4772222222222,5.43415126769567,-141.353068658363,17.4772222222222,18.7013888888889,38.7831148826485,15.9413253247996,18.7013888888889
"11","os19_24f","female","200m",0,43.0675,9.7621718894649,26.0134907663336,31.0675,NA,NA,NA,NA
"12","os19_25m","male","50m",0,1.88305555555556,11.4690888914537,45.5165172989764,1.88305555555556,NA,NA,NA,NA
"13","os19_27m","male","50m",1,17.2894444444444,9.47628619236636,108.561942604126,17.2894444444444,22.1444444444444,41.4972288231614,86.7394293021486,22.1444444444444
"14","os19_29f","female","50m",1,19.1741666666667,10.1118742080783,-164.945950585329,19.1741666666667,21,36.8408740395383,61.5822271501782,21
"15","os19_2m","male","50m",1,24.085,6.57343137182111,-53.366186787384,12.085,43.7616666666667,39.1710352173873,-13.4155987411807,21.7616666666667
"16","os19_30m","male","50m",0,66.5469444444444,7.46257328271857,29.5186387607447,42.5469444444444,NA,NA,NA,NA
"17","os19_31m","male","200m",0,21.2458333333333,9.54829827771955,-55.7833982923432,21.2458333333333,93.7936111111111,22.7270763627891,164.427842939029,27.7936111111111
"18","os19_32f","female","200m",0,49.6136111111111,10.7354552767685,-104.105426259764,25.6136111111111,NA,NA,NA,NA
"19","os19_35m","male","200m",0,15.1488888888889,10.2552425617995,119.959154342725,15.1488888888889,115.305,40.4060639013735,72.7812441978889,27.305
