"","id","dt","x_utm","y_utm"
"227","dt19_19",2019-02-25 16:12:00,313758.046025263,447451.391152217
"228","dt19_19",2019-02-27 10:24:00,313742.149254115,447453.738890704
"229","dt19_19",2019-02-27 15:46:00,313747.218789337,447457.439569613
"230","dt19_2",2019-02-09 16:13:00,313655.767862804,447401.52394052
"231","dt19_2",2019-02-10 15:31:00,313653.24045764,447398.695676107
"232","dt19_2",2019-02-11 12:15:00,313651.794291142,447401.442105073
"233","dt19_2",2019-02-11 15:33:00,313651.795081502,447401.420643376
"234","dt19_20",2019-02-25 16:26:00,313781.506045944,447454.970746311
"235","dt19_20",2019-02-26 14:19:00,313789.138539304,447452.288564667
"236","dt19_21",2019-02-25 17:13:00,313778.601059485,447454.705866111
"237","dt19_22",2019-02-26 13:25:00,313778.743473207,447454.819552078
"238","dt19_22",2019-02-27 13:31:00,313783.982038898,447460.171465639
"239","dt19_22",2019-02-27 15:07:00,313783.823223549,447460.21495484
"240","dt19_23",2019-03-04 12:00:00,313842.675356438,447509.935969643
"241","dt19_23",2019-03-05 12:06:00,313841.882019855,447506.278799149
"242","dt19_23",2019-03-05 13:58:00,313838.09091829,447501.690132729
"243","dt19_24",2019-03-04 12:14:00,313840.305765843,447505.34331968
"244","dt19_24",2019-03-05 12:13:00,313837.760201352,447500.149899528
"245","dt19_24",2019-03-05 14:16:00,313840.617421149,447499.380488944
"246","dt19_25",2019-03-04 12:41:00,313822.515034062,447487.236507694
"247","dt19_25",2019-03-05 12:16:00,313828.817765706,447488.19128136
"248","dt19_25",2019-03-05 15:56:00,313834.414757251,447492.48039391
"249","dt19_27",2019-03-06 08:26:00,313618.817613114,447408.919340166
"250","dt19_27",2019-03-07 10:55:00,313626.781722188,447428.425082505
"251","dt19_27",2019-03-07 14:24:00,313626.799191391,447428.962209945
"252","dt19_28",2019-03-06 08:51:00,313626.142379284,447422.245628474
"253","dt19_28",2019-03-07 11:05:00,313620.988519371,447419.474219704
"254","dt19_28",2019-03-07 14:37:00,313613.658499808,447430.494018395
"255","dt19_29",2019-03-06 16:00:00,313846.98584874,447536.591391502
"256","dt19_29",2019-03-07 11:32:00,313845.092106273,447537.06276816
"257","dt19_29",2019-03-07 14:09:00,313845.086137667,447537.111888838
"258","dt19_29",2019-03-08 13:11:00,313856.030437984,447536.840057408
"259","dt19_3",2019-02-10 13:28:00,313659.618961327,447395.577606347
"260","dt19_3",2019-02-10 17:24:00,313652.201269475,447403.737644151
"261","dt19_30",2019-03-06 17:05:00,313846.920974557,447527.353373221
"262","dt19_30",2019-03-07 11:39:00,313865.16882035,447529.400306258
"263","dt19_30",2019-03-07 13:31:00,313865.011990796,447529.31494518
"264","dt19_30",2019-03-07 17:35:00,313849.371384461,447531.815293749
