"","date","temp"
"1",2017-01-27,23.9294326923077
"2",2017-01-28,24.2114903846154
"3",2017-01-29,23.9529134615385
"4",2017-01-30,23.8181057692308
"5",2017-01-31,24.2580288461538
"6",2017-02-01,24.3775192307692
"7",2017-02-02,24.3228076923077
"8",2017-02-03,25.1235480769231
"9",2017-02-04,25.0641634615385
"10",2017-02-05,24.0513942307692
"11",2017-02-06,23.5074326923077
"12",2017-02-07,24.5417019230769
"13",2017-02-08,24.0875480769231
"14",2017-02-09,24.3556442307692
"15",2017-02-10,24.5014711538462
"16",2017-02-11,24.1786923076923
"17",2017-02-12,23.6729326923077
"18",2017-02-13,24.5707307692308
"19",2017-02-14,24.4083461538462
"20",2017-02-15,24.3031730769231
"21",2017-02-16,23.8988557692308
"22",2017-02-17,23.4036153846154
"23",2017-02-18,24.7248653846154
"24",2017-02-19,24.7660480769231
"25",2017-02-20,23.9541442307692
"26",2017-02-21,24.5286826923077
"27",2017-02-22,24.2320288461538
"28",2017-02-23,24.0040769230769
"29",2017-02-24,24.0288173076923
"30",2017-02-25,24.3353269230769
"31",2017-02-26,23.9789134615385
"32",2017-02-27,24.1078461538462
"33",2017-02-28,23.6140673076923
"34",2017-03-01,23.9202019230769
"35",2017-03-02,23.5573942307692
"36",2017-03-03,23.8838365384615
"37",2017-03-04,24.3095
"38",2017-03-05,24.8076730769231
"39",2017-03-06,25.1256153846154
"40",2017-03-07,24.4141153846154
"41",2017-03-08,24.1330384615385
"42",2017-03-09,24.0894711538462
"43",2017-03-10,24.6165673076923
"44",2017-03-11,25.1292788461538
"45",2017-03-12,24.9439807692308
"46",2017-03-13,24.8338557692308
"47",2017-03-14,24.4348557692308
"48",2017-03-15,24.2262980769231
"49",2017-03-16,23.4595192307692
"50",2017-03-17,24.0548173076923
"51",2017-03-18,24.1935769230769
"52",2017-03-19,24.1168173076923
"53",2017-03-20,23.6185
"54",2017-03-21,23.7345096153846
"55",2017-03-22,24.5930288461538
"56",2017-03-23,24.3981442307692
"57",2017-03-24,24.8218173076923
