"","id","dt","x_utm","y_utm","sex"
"1","os19_12f",2019-05-29 15:20:23,699014.942351367,58480.9827543879,"female"
"2","os19_12f",2019-05-29 15:35:23,699014.821280651,58481.0285013741,"female"
"3","os19_12f",2019-05-29 15:50:31,699014.936326686,58480.9894415653,"female"
"4","os19_12f",2019-05-29 16:01:05,699015.636373605,58481.2642173593,"female"
"5","os19_12f",2019-05-29 16:57:53,699015.657700716,58481.3968341415,"female"
"6","os19_12f",2019-05-29 17:34:28,699016.164696969,58478.7807030276,"female"
"7","os19_12f",2019-05-29 18:02:28,699015.62409254,58481.3989828798,"female"
"8","os19_12f",2019-05-30 08:02:56,699003.573076305,58480.8349028129,"female"
"9","os19_12f",2019-05-30 08:45:37,699003.683677471,58480.9992971131,"female"
"10","os19_12f",2019-05-30 09:19:58,699003.614161775,58480.8993653511,"female"
"11","os19_12f",2019-05-30 10:16:19,699003.576047809,58480.9404606225,"female"
"12","os19_12f",2019-05-30 10:58:00,699003.095070714,58479.4899779669,"female"
"13","os19_12f",2019-05-30 11:32:04,699002.694533363,58480.4779452722,"female"
"14","os19_12f",2019-05-30 12:07:09,699002.337137306,58479.4286042792,"female"
"15","os19_12f",2019-05-30 13:07:21,699002.299571644,58479.4415124567,"female"
"16","os19_12f",2019-05-30 13:58:05,699002.286293076,58479.4693223822,"female"
"17","os19_12f",2019-05-30 15:07:43,699002.248930955,58479.4405145828,"female"
"18","os19_12f",2019-05-30 16:20:16,698998.873317686,58476.2569289851,"female"
"19","os19_12f",2019-05-30 17:05:22,698993.268654957,58475.0314347607,"female"
"20","os19_12f",2019-05-30 17:55:31,698991.274480182,58469.5337972606,"female"
"21","os19_12f",2019-05-31 09:24:35,698982.495585899,58460.4289299665,"female"
"22","os19_12f",2019-05-31 10:29:48,698979.915014938,58466.5797910933,"female"
"23","os19_12f",2019-05-31 11:19:34,698980.661561703,58466.6701956601,"female"
"24","os19_12f",2019-05-31 11:57:04,698980.013038443,58466.6598239598,"female"
"25","os19_12f",2019-05-31 12:39:46,698979.984495714,58466.7031455026,"female"
"26","os19_12f",2019-05-31 13:19:50,698980.153234776,58467.2461574518,"female"
"27","os19_12f",2019-05-31 14:06:07,698980.204850398,58467.2328603517,"female"
"28","os19_12f",2019-05-31 15:18:42,698980.331435886,58467.3034393888,"female"
"29","os19_12f",2019-05-31 16:11:17,698979.852301044,58466.3738552049,"female"
"30","os19_12f",2019-05-31 17:20:57,698979.852335664,58466.3737918124,"female"
"31","os19_12f",2019-05-31 17:58:46,698979.727965421,58466.2900253562,"female"
"32","os19_12f",2019-06-01 07:36:17,698980.172933525,58467.0954180894,"female"
"33","os19_12f",2019-06-01 08:25:58,698980.153160044,58467.2648545331,"female"
"34","os19_12f",2019-06-01 09:17:35,698977.008860098,58478.7257981592,"female"
"35","os19_12f",2019-06-01 10:31:26,698989.157681735,58486.5279809821,"female"
"36","os19_12f",2019-06-01 11:59:45,698989.331052681,58489.8434405986,"female"
"37","os19_12f",2019-06-01 12:39:08,698988.190028781,58496.9465431231,"female"
"38","os19_12f",2019-06-01 13:55:24,698986.722341347,58506.4038281296,"female"
"39","os19_12f",2019-06-01 15:12:40,698987.878330179,58506.7237301217,"female"
"40","os19_12f",2019-06-01 16:25:25,698985.38850645,58514.6749660465,"female"
"41","os19_14f",2019-05-30 15:51:00,698999.760522881,58452.1170882845,"female"
"42","os19_14f",2019-05-30 15:55:43,699001.074433622,58454.8141736423,"female"
"43","os19_14f",2019-05-30 15:57:20,699001.334933792,58454.9603941758,"female"
"44","os19_14f",2019-05-30 16:58:02,699002.528928202,58461.9481881474,"female"
"45","os19_14f",2019-05-30 17:42:43,699022.58242557,58464.2254400608,"female"
"46","os19_14f",2019-05-30 18:03:55,699024.432117799,58467.4206951158,"female"
"47","os19_14f",2019-05-31 07:33:48,699029.020850342,58470.3698634754,"female"
"48","os19_14f",2019-05-31 08:08:43,699030.678872363,58480.4815809942,"female"
"49","os19_15m",2019-05-29 15:56:27,699007.104852593,58486.8109901309,"male"
"50","os19_15m",2019-05-29 16:11:27,699007.161236576,58486.9064631041,"male"
"51","os19_15m",2019-05-29 16:26:08,699006.932126912,58486.6167377323,"male"
"52","os19_15m",2019-05-29 17:02:27,699006.946438375,58486.6121291048,"male"
"53","os19_15m",2019-05-29 17:39:00,699006.853745956,58486.8721973073,"male"
"54","os19_15m",2019-05-29 18:07:42,699005.349935873,58487.8957014159,"male"
"55","os19_15m",2019-05-30 07:52:39,699000.263166807,58499.9355481035,"male"
"56","os19_15m",2019-05-30 08:39:35,698998.352824494,58499.9504233102,"male"
"57","os19_15m",2019-05-30 09:25:27,699000.228095045,58501.6069143613,"male"
"58","os19_15m",2019-05-30 10:12:04,698999.730528447,58501.96842456,"male"
"59","os19_15m",2019-05-30 10:47:46,698999.749622365,58501.9422536043,"male"
"60","os19_15m",2019-05-30 11:26:57,698999.620704107,58501.9727136479,"male"
"61","os19_15m",2019-05-30 12:12:08,698999.748156924,58501.9968231959,"male"
"62","os19_15m",2019-05-30 13:01:08,699001.008836972,58501.9260455824,"male"
"63","os19_15m",2019-05-30 14:02:47,699000.21360021,58501.9764567664,"male"
"64","os19_15m",2019-05-30 15:15:00,699000.193279749,58501.9184899509,"male"
"65","os19_15m",2019-05-30 16:08:53,699000.172032899,58501.8233204347,"male"
"66","os19_15m",2019-05-30 17:08:45,698999.883319449,58501.8239576528,"male"
"67","os19_15m",2019-05-30 17:48:29,698999.949784883,58501.8995385588,"male"
"68","os19_15m",2019-05-31 08:08:29,698989.12491127,58512.1633941436,"male"
"69","os19_15m",2019-05-31 10:01:33,698988.262020043,58511.9425135749,"male"
"70","os19_15m",2019-05-31 10:36:56,698988.264655016,58512.016631999,"male"
"71","os19_15m",2019-05-31 11:50:01,698988.954245285,58511.8048196291,"male"
"72","os19_15m",2019-05-31 12:32:47,698989.228113919,58512.3419919261,"male"
"73","os19_15m",2019-05-31 13:26:50,698988.105626654,58511.7347422341,"male"
"74","os19_15m",2019-05-31 14:13:30,698988.110104531,58511.7406856141,"male"
"75","os19_15m",2019-05-31 15:13:22,698986.905063434,58511.9487693294,"male"
"76","os19_15m",2019-05-31 16:15:05,698982.046655429,58515.424554139,"male"
"77","os19_16m",2019-05-30 15:52:10,699009.480518156,58452.7362775376,"male"
"78","os19_16m",2019-05-30 16:22:23,699009.976652937,58452.5906452819,"male"
"79","os19_16m",2019-05-30 16:44:41,699009.976866465,58452.5886741559,"male"
"80","os19_16m",2019-05-30 17:10:55,699009.965729842,58452.5725651781,"male"
"81","os19_16m",2019-05-30 17:51:41,699009.976101439,58452.5701497419,"male"
"82","os19_16m",2019-05-31 07:42:44,699012.460485424,58461.0476245204,"male"
"83","os19_16m",2019-05-31 08:35:36,699013.0260448,58461.2920574915,"male"
"84","os19_16m",2019-05-31 09:18:52,699013.018587553,58461.2857820241,"male"
"85","os19_16m",2019-05-31 10:14:48,699013.022078184,58461.2901766705,"male"
"86","os19_16m",2019-05-31 11:20:02,699012.749911146,58461.1694426012,"male"
"87","os19_16m",2019-05-31 12:47:35,699012.700914841,58461.1420118724,"male"
"88","os19_16m",2019-05-31 14:04:13,699012.706316009,58461.1480589002,"male"
"89","os19_16m",2019-05-31 16:04:18,699012.701769435,58461.1483309056,"male"
"90","os19_16m",2019-05-31 17:28:41,699012.789512653,58461.3145607556,"male"
"91","os19_16m",2019-05-31 18:02:02,699012.777973884,58461.2336604629,"male"
"92","os19_16m",2019-06-01 07:50:38,699015.456257101,58464.1343404907,"male"
"93","os19_16m",2019-06-01 08:54:53,699024.651397527,58470.8487053638,"male"
"94","os19_16m",2019-06-01 10:08:32,699039.872296883,58487.655989653,"male"
"95","os19_19f",2019-06-01 16:32:54,698977.550760881,58473.2601531761,"female"
"96","os19_19f",2019-06-01 16:52:06,698979.185580151,58470.7441927925,"female"
"97","os19_19f",2019-06-01 17:25:00,698980.607579556,58467.9705718423,"female"
"98","os19_19f",2019-06-01 18:01:37,698981.633107608,58467.5642512136,"female"
"99","os19_19f",2019-06-02 07:30:37,698981.404306839,58466.8967473543,"female"
"100","os19_19f",2019-06-02 08:33:10,698976.009812114,58466.7421138115,"female"
"101","os19_19f",2019-06-02 09:40:20,698969.176589759,58471.2151155754,"female"
"102","os19_19f",2019-06-02 10:39:27,698969.176543524,58471.2151261325,"female"
"103","os19_19f",2019-06-02 11:55:05,698969.189475363,58470.2471017755,"female"
"104","os19_19f",2019-06-02 12:40:06,698967.936568038,58469.0838107655,"female"
"105","os19_19f",2019-06-02 13:16:59,698967.936491903,58469.0838437472,"female"
"106","os19_19f",2019-06-02 14:15:20,698966.400824028,58469.6076097472,"female"
"107","os19_19f",2019-06-02 15:29:06,698967.102169093,58469.4510772809,"female"
"108","os19_19f",2019-06-02 16:13:25,698966.387663855,58470.9748909362,"female"
"109","os19_19f",2019-06-02 17:14:29,698967.10061988,58469.4777507966,"female"
"110","os19_19f",2019-06-02 18:15:13,698967.155869665,58469.4670477094,"female"
"111","os19_19f",2019-06-03 07:50:39,698967.280516519,58469.7450553335,"female"
"112","os19_19f",2019-06-03 08:59:59,698967.278126149,58469.7475742141,"female"
"113","os19_19f",2019-06-03 09:49:09,698967.278332043,58469.7471443675,"female"
"114","os19_19f",2019-06-03 10:48:55,698967.384921008,58469.5822207816,"female"
"115","os19_19f",2019-06-03 11:31:13,698968.170712934,58472.3571965605,"female"
"116","os19_19f",2019-06-03 12:35:44,698968.175437235,58472.3570280415,"female"
"117","os19_19f",2019-06-03 13:26:17,698969.121066588,58471.1832509379,"female"
"118","os19_19f",2019-06-03 14:16:28,698969.121146851,58471.1826520869,"female"
"119","os19_19f",2019-06-03 15:09:27,698969.130455305,58471.1939857342,"female"
"120","os19_19f",2019-06-03 15:56:41,698968.836699306,58471.2771739575,"female"
"121","os19_19f",2019-06-03 16:41:50,698969.038596162,58470.8465323783,"female"
"122","os19_19f",2019-06-03 17:11:20,698969.052938024,58470.8453937671,"female"
"123","os19_19f",2019-06-03 17:49:14,698969.051301758,58470.8457924009,"female"
"124","os19_19f",2019-06-04 07:52:07,698968.478194591,58472.5790144419,"female"
"125","os19_19f",2019-06-04 08:33:34,698968.492149129,58472.5912838415,"female"
"126","os19_19f",2019-06-04 09:45:43,698969.238062416,58471.7441518901,"female"
