"","id","sex","trans_group","relocs","homing_bin","homing_prop","track.time","track.daytime","dist_cumul","area","sc","mean_temp","cumul_rain"
"1","os19_12f","female","50m",42,1,0.803789423307029,73.0838888888889,37.0838888888889,118.858355020231,1141.73294616986,0.367655574892828,23.2377564102564,26
"2","os19_14f","female","50m",7,1,0.737642908837302,16.2952777777778,4.29527777777778,49.801694716538,473.14430123847,0.842353520183398,23.1011490384615,20.5
"3","os19_15m","male","50m",29,1,0.822762162046525,48.3105555555556,24.3105555555556,49.3914763238602,497.006360124331,0.765791000641081,23.2740416666666,20.5
"4","os19_16m","male","50m",20,1,0.868597539732429,42.2727777777778,18.2727777777778,48.6703466340615,550.257903092075,0.938778209531717,23.1103995726495,26
"5","os19_19f","female","50m",44,0,0.342123162382815,87.8566666666667,39.8566666666667,53.1384508412472,387.819347089953,0.349086896494832,23.269508974359,56.5
"6","os19_1f","female","50m",39,1,0.824109025493037,65.1408333333333,29.1408333333333,84.2944318307053,671.897194344856,0.511366527019706,23.4745368589743,60
"7","os19_20m","male","50m",34,1,0.796945987690564,63.5213888888889,27.5213888888889,48.8806883721831,539.785196721554,0.848295739599468,23.2568205128205,42.5
"8","os19_21f","female","50m",46,0,-0.00852155494460827,89.0666666666667,41.0666666666667,45.0655184459374,213.137955405065,-0.0103263378763607,23.2747769230769,87.5
"9","os19_22f","female","200m",80,0,0.134732836656832,135.777222222222,63.7772222222222,49.6094367654532,452.920122103766,0.553980665620112,23.4320874542124,108
"10","os19_23f","female","50m",11,1,0.698708382047607,19.5391666666667,7.53916666666667,72.2244432106527,647.988454704678,NA,23.2422788461539,21.5
"11","os19_24f","female","200m",79,0,-0.0134441752128647,136.850277777778,64.8502777777778,91.2335714866166,344.184900301076,-0.0295102674426176,23.3516675824176,73
"12","os19_25m","male","50m",52,0,0.154625790056582,88.2619444444444,40.2619444444444,60.0783523699057,293.334340647445,0.128648320094206,23.3592025641026,66.5
"13","os19_27m","male","50m",45,1,0.820375868184272,88.2547222222222,40.2547222222222,178.807005599622,1357.74996496504,0.246077037091387,23.2747769230769,87.5
"14","os19_28m","male","200m",83,0,-0.492892096426661,137.251111111111,65.2511111111111,251.217286078228,2058.43057969577,-0.408034907709376,23.3516675824176,73
"15","os19_29f","female","50m",30,1,0.831001073840507,44.7058333333333,20.7058333333333,128.293878284204,1158.39329668763,0.347931587354645,23.4390876068376,51
"16","os19_2m","male","50m",29,1,0.994000370687592,44.4930555555556,20.4930555555556,74.5048923111157,691.410836196104,0.680091493023591,23.4133087606837,53.5
"17","os19_30m","male","50m",49,0,0.0537543977563256,88.7247222222222,40.7247222222222,27.391006689718,188.02135586407,0.107694802884472,23.3667346153846,65.5
"18","os19_31m","male","200m",82,0,-0.107392702888013,135.486944444444,63.4869444444444,91.6570312610388,551.134185886942,-0.232511243497267,23.4320874542124,108
"19","os19_32f","female","200m",78,0,0.0163421813270349,136.32,64.32,63.7607026569492,290.371524286972,0.0500888227977254,23.4356172161172,72
"20","os19_35m","male","200m",78,0,-0.00521718075662703,135.686666666667,63.6866666666667,120.304300198982,798.660761765052,-0.00880261706708249,23.4356172161172,72
"21","os19_36m","male","200m",56,0,-0.00640999555954314,111.904722222222,51.9047222222222,45.3919125140175,240.866282820818,-0.0279660255237123,23.3787334401709,79.5
"22","os19_37f","female","200m",74,0,-0.140666285133714,136.295833333333,64.2958333333333,93.7353488433593,683.785197735269,-0.320562867266048,23.3776694139194,133.5
"23","os19_38f","female","200m",84,0,0.029386793207168,136.610277777778,64.6102777777778,201.955583917797,793.052397195299,0.0289665889705409,23.496788003663,140.5
"24","os19_39m","male","200m",84,0,0.0124318500319961,122.114444444444,62.1144444444444,305.939440227394,1224.46664809436,0.00810486946962306,23.4069551282051,127
"25","os19_3m","male","50m",45,1,0.945249752015641,65.6216666666667,29.6216666666667,224.162629449713,1909.93132496325,0.230232385779849,23.3003381410256,18
"26","os19_40f","female","200m",56,0,-0.0944078719985744,135.909444444444,63.9094444444444,137.979040895473,584.13216865703,-0.140190717815506,23.4348342490843,98.5
"27","os19_41f","female","200m",55,0,0.0105970286069085,90.5088888888889,42.5088888888889,47.5536940058615,262.189604805009,0.0451591479521531,23.3210057692308,109.5
"28","os19_42m","male","200m",72,0,0.124424013490644,135.377222222222,63.3772222222222,361.527007722334,2970.84846449558,0.069693344723989,23.4717463369964,123.5
"29","os19_43m","male","200m",77,0,-0.143229838299583,135.85,63.85,173.106015745725,889.680951787625,-0.169042296691327,23.4348342490843,98.5
"30","os19_45f","female","200m",66,0,0.0979832875783513,135.585555555556,63.5855555555555,53.5058767089026,385.613654896908,0.379934969167118,23.2491451465201,56.5
"31","os19_46f","female","200m",79,0,0.319497437794657,138.818055555556,66.8180555555556,397.548787313339,3694.74724687924,0.163464244507688,23.3054230769231,57
"32","os19_47m","male","200m",69,0,-0.167309255569304,136.298611111111,64.2986111111111,297.678122241104,1934.14503439408,-0.112425713771621,23.401913003663,68.5
"33","os19_48m","male","200m",65,0,-0.28639403088384,135.724166666667,63.7241666666667,115.12481794705,893.324899595711,-0.503677213788212,23.2491451465201,56.5
"34","os19_49m","male","200m",39,0,-0.0722205841614592,96.5216666666667,48.5216666666667,172.440179748226,1117.07318973629,-0.0863449212635986,23.369016025641,44
"35","os19_5f","female","50m",47,0,0.134122519046219,88.5927777777778,40.5927777777778,21.982595777797,178.896531694627,0.320276064507482,23.2939865384615,20
"36","os19_6f","female","50m",32,1,0.732257395570354,44.2686111111111,20.2686111111111,130.240532594501,1149.78931295924,0.345437775246187,23.3384818376068,43
"37","os19_7m","male","50m",18,1,0.934778070716523,23.6694444444444,11.6694444444444,62.1539093595064,617.996080181678,0.773858570777586,23.1786121794871,36.5
"38","os19_8m","male","50m",10,1,0.835420065413648,18.6630555555556,6.66305555555556,52.8875155832378,589.351255315254,0.854152945836687,22.9616522435898,11.5
"39","os19_9f","female","50m",31,1,0.604711445469211,50.4511111111111,26.4511111111111,53.3989332209687,496.30786530755,0.65410161358916,23.1810438034188,11.5
