"","date","rain_daytime","rain_24h","rain_48h","rain_cumul"
"1",2020-01-01,0,0,NA,NA
"2",2020-01-02,0,0.202,0.202,0.202
"3",2020-01-03,0,0,0.202,0
"4",2020-01-04,1.01,0,0,1.01
"5",2020-01-05,0,1.212,1.212,1.212
"6",2020-01-06,0,0,1.212,0
"7",2020-01-07,12.12,0,0,12.12
"8",2020-01-08,2.828,13.332,13.332,16.16
"9",2020-01-09,2.424,5.858,19.19,8.282
"10",2020-01-10,0,2.424,8.282,2.424
"11",2020-01-11,4.242,0,2.424,4.242
"12",2020-01-12,0.202,4.242,4.242,4.444
"13",2020-01-13,2.222,1.616,5.858,3.838
"14",2020-01-14,3.636,8.686,10.302,12.322
"15",2020-01-15,5.454,3.636,12.322,9.09
"16",2020-01-16,11.918,6.06,9.696,17.978
"17",2020-01-17,5.252,13.13,19.19,18.382
"18",2020-01-18,0.202,5.252,18.382,5.454
"19",2020-01-19,0,0.202,5.454,0.202
"20",2020-01-20,0,0.808,1.01,0.808
"21",2020-01-21,0,0,0.808,0
"22",2020-01-22,0,0.202,0.202,0.202
"23",2020-01-23,0.202,0,0.202,0.202
"24",2020-01-24,0,0.202,0.202,0.202
"25",2020-01-25,2.828,1.414,1.616,4.242
"26",2020-01-26,8.888,2.828,4.242,11.716
"27",2020-01-27,6.262,9.696,12.524,15.958
"28",2020-01-28,0,6.868,16.564,6.868
"29",2020-01-29,2.222,0,6.868,2.222
"30",2020-01-30,0.606,2.222,2.222,2.828
"31",2020-01-31,1.212,8.08,10.302,9.292
"32",2020-02-01,0,1.212,9.292,1.212
"33",2020-02-02,0,0.202,1.414,0.202
"34",2020-02-03,0,0,0.202,0
"35",2020-02-04,0.202,0.202,0.202,0.404
"36",2020-02-05,0,0.202,0.404,0.202
"37",2020-02-06,0,0,0.202,0
"38",2020-02-07,0,0,0,0
"39",2020-02-08,6.464,0.202,0.202,6.666
"40",2020-02-09,0.808,6.464,6.666,7.272
"41",2020-02-10,59.792,1.212,7.676,61.004
"42",2020-02-11,12.322,65.246,66.458,77.568
"43",2020-02-12,0.808,13.534,78.78,14.342
"44",2020-02-13,0.404,1.01,14.544,1.414
"45",2020-02-14,0,2.02,3.03,2.02
"46",2020-02-15,4.04,0.606,2.626,4.646
"47",2020-02-16,6.262,9.09,9.696,15.352
"48",2020-02-17,0,6.262,15.352,6.262
"49",2020-02-18,0,0,6.262,0
"50",2020-02-19,0,0,0,0
"51",2020-02-20,0,0,0,0
"52",2020-02-21,0,0,0,0
"53",2020-02-22,6.666,0.202,0.202,6.868
"54",2020-02-23,2.222,12.928,13.13,15.15
"55",2020-02-24,17.574,2.626,15.554,20.2
"56",2020-02-25,0,17.776,20.402,17.776
"57",2020-02-26,0,0.202,17.978,0.202
"58",2020-02-27,0,0,0.202,0
"59",2020-02-28,0,0.202,0.202,0.202
"60",2020-02-29,0,0,0.202,0
"61",2020-03-01,0,0,0,0
"62",2020-03-02,0,0,0,0
"63",2020-03-03,4.848,0,0,4.848
"64",2020-03-04,0.404,4.848,4.848,5.252
"65",2020-03-05,0,0.404,5.252,0.404
"66",2020-03-06,0,0,0.404,0
"67",2020-03-07,0.404,0,0,0.404
"68",2020-03-08,0,0.404,0.404,0.404
"69",2020-03-09,0,0,0.404,0
"70",2020-03-10,0,0,0,0
"71",2020-03-11,0,0,0,0
"72",2020-03-12,0,0,0,0
"73",2020-03-13,0,0,0,0
"74",2020-03-14,0,0,0,0
"75",2020-03-15,0,0,0,0
"76",2020-03-16,0.202,0,0,0.202
"77",2020-03-17,0,0.202,0.202,0.202
"78",2020-03-18,4.444,0,0.202,4.444
