"","id","species","sex","size","weight"
"1","dt17_1","dt","female",NA,5.05
"2","dt17_10","dt","female",38.5,5.65
"3","dt17_11","dt","male",35,3.65
"4","dt17_12","dt","male",36.5,4
"5","dt17_13","dt","female",39.5,5.05
"6","dt17_14","dt","female",39.5,5.15
"7","dt17_16","dt","male",35,3.9
"8","dt17_18","dt","female",40.5,6.7
"9","dt17_19","dt","male",NA,NA
"10","dt17_2","dt","male",NA,3.1
"11","dt17_20","dt","male",33.5,3.65
"12","dt17_22","dt","female",39.5,5.95
"13","dt17_23","dt","female",40.5,5.5
"14","dt17_24","dt","male",35,3.8
"15","dt17_25","dt","female",40,5.45
"16","dt17_26","dt","female",37,5.15
"17","dt17_29","dt","female",39,5.9
"18","dt17_30","dt","male",36.2,3.95
"19","dt17_31","dt","female",40,6
"20","dt17_32","dt","male",34,3.9
"21","dt17_33","dt","male",34.5,3.7
"22","dt17_34","dt","female",40,5.25
"23","dt17_35","dt","male",34,3.5
"24","dt17_4","dt","male",36.2,4.25
"25","dt17_5","dt","female",37.5,5.05
"26","dt17_6","dt","female",40,4.7
"27","dt17_7","dt","male",34.5,3.65
"28","dt17_8","dt","female",34,3.65
"29","dt17_9","dt","male",39.5,5.85
"30","dt19_10","dt","female",39,5
"31","dt19_11","dt","female",40.8,5.22
"32","dt19_12","dt","male",35.1,3.14
"33","dt19_13","dt","female",40,5.73
"34","dt19_14","dt","male",37,3.8
"35","dt19_15","dt","male",36,3.1
"36","dt19_16","dt","female",40.5,5.3
"37","dt19_17","dt","female",38.9,5.05
"38","dt19_19","dt","male",34.2,3.33
"39","dt19_2","dt","female",43,5.46
"40","dt19_20","dt","male",33.5,3.59
"41","dt19_22","dt","female",38.5,4.59
"42","dt19_23","dt","male",32.3,2.92
"43","dt19_24","dt","female",36.3,4.5
"44","dt19_25","dt","female",37.2,3.95
"45","dt19_27","dt","male",37.5,4.04
"46","dt19_28","dt","female",40.6,5.91
"47","dt19_29","dt","male",34.1,3.39
"48","dt19_30","dt","female",41.2,6.17
"49","dt19_32","dt","female",41.5,4.45
"50","dt19_33","dt","female",41.8,5.07
"51","dt19_34","dt","male",34.8,5.5
"52","dt19_36","dt","male",38.1,4.12
"53","dt19_37","dt","female",40.2,4.72
"54","dt19_38","dt","male",36.2,3.39
"55","dt19_39","dt","female",42.8,5.53
"56","dt19_4","dt","male",36.5,3.51
"57","dt19_40","dt","female",39.5,5.01
"58","dt19_42","dt","male",35.5,3.97
"59","dt19_43","dt","male",36.6,3.9
"60","dt19_44","dt","female",39.2,5.74
"61","dt19_45","dt","male",34.2,3.2
"62","dt19_46","dt","female",41.5,6.15
"63","dt19_5","dt","male",35.5,3.55
"64","dt19_6","dt","female",41.2,6.23
"65","dt19_7","dt","female",40,6.11
"66","dt19_8","dt","male",36.2,3.87
"67","dt19_9","dt","male",35.5,4
