id,tube,well_id,t_conc,cv,species,plate,sex,condition,t_corr_final,t_conc_corr
af20_33,67,SPL17,119.331,9.273,af,T_9,f,base_01,0.128289474,15.30891122
af20_34,68,SPL18,193.84,5.177,af,T_9,m,base_01,0.130067568,25.21229738
af20_36,71,SPL21,219.532,5.875,af,T_9,f,base_01,0.133928571,29.40160705
af20_38,75,SPL23,111.507,0.275,af,T_9,m,base_01,0.133928571,14.93397317
af20_37,80,SPL27,303.27,3.526,af,T_9,f,base_01,0.136029412,41.25363978
af20_3,4,SPL5,62.677,5.569,af,T_6,m,base_02,0.121875,7.638759375
af20_1,5,SPL6,263.936,2.986,af,T_6,f,base_02,0.1234375,32.5796
af20_2,6,SPL7,71.859,3.311,af,T_6,f,base_02,0.125,8.982375
af20_4,9,SPL10,45.27,1.076,af,T_6,f,base_02,0.1234375,5.588015625
af20_28,61,SPL3,50.371,14.183,af,T_8,m,base_02,0.125,6.296375
af20_32,93,SPL19,64.883,0.306,af,T_8,f,base_02,0.121875,7.907615625
af20_37,95,SPL21,84.18,7.116,af,T_8,f,base_02,0.1203125,10.12790625
af20_24,46,SPL7,28.129,11.698,af,T_7,f,base_03,0.1140625,3.208464063
