id,tube,well_id,t_conc,cv,species,plate,sex,condition,t_corr_final,t_conc_corr
os19_16m,25,SPL20,308.944,5.714,os,T_3,m,base_01,0.109375,33.79075
os19_19f,32,SPL25,53.312,9.467,os,T_3,f,base_01,0.121875,6.4974
os19_20m,33,SPL26,141.105,10.108,os,T_3,m,base_01,0.1328125,18.74050781
os19_23f,38,SPL31,21.055,23.226,os,T_3,f,base_01,0.128125,2.697671875
os19_22f,40,SPL33,24.178,11.479,os,T_3,f,base_01,0.128125,3.09780625
os19_21f,41,SPL34,296.301,8.526,os,T_3,f,base_01,0.121875,36.11168438
os19_24f,42,SPL35,34.978,7.357,os,T_3,f,base_01,0.10625,3.7164125
os19_25m,43,SPL36,55.172,4.519,os,T_3,m,base_01,0.128125,7.0689125
os19_27m,44,SPL37,39.468,0.822,os,T_3,m,base_01,0.128125,5.0568375
os19_28m,46,SPL1,105.51,5.522,os,T_4,m,base_01,0.11875,12.5293125
os19_29f,50,SPL4,47.867,3.26,os,T_4,f,base_01,0.115625,5.534621875
os19_30m,51,SPL5,103.989,1.649,os,T_4,m,base_01,0.1125,11.6987625
os19_31m,53,SPL6,167.495,0.318,os,T_4,m,base_01,0.1125,18.8431875
os19_32f,60,SPL12,34.603,12.053,os,T_4,f,base_01,0.125,4.325375
os19_35m,70,SPL20,203.251,3.216,os,T_4,m,base_01,0.125,25.406375
os19_37f,74,SPL23,62.762,6.277,os,T_4,f,base_01,0.103125,6.47233125
os19_38f,75,SPL24,106.534,5.092,os,T_4,f,base_01,0.11875,12.6509125
os19_39m,76,SPL25,97.287,23.391,os,T_4,m,base_01,0.1125,10.9447875
os19_40f,81,SPL30,77.585,17.708,os,T_4,f,base_01,0.1234375,9.576898438
os19_45f,94,SPL5,47.196,4.365,os,T_5,f,base_01,0.1203125,5.67826875
os19_47m,99,SPL10,81.878,1.506,os,T_5,f,base_01,0.115625,9.46714375
os19_44f,107,SPL15,56.986,6.94,os,T_5,f,base_01,0.11875,6.7670875
os19_3m,10,SPL9,122.095,3.674,os,T_3,m,base_02,0.140625,17.16960938
os19_5f,11,SPL10,166.724,1.182,os,T_3,f,base_02,0.1375,22.92455
os19_8m,13,SPL12,63.591,23.46,os,T_3,m,base_02,0.15,9.53865
os19_9f,22,SPL18,61.461,2.412,os,T_3,f,base_02,0.1171875,7.202460938
os19_14f,31,SPL24,88.702,9.564,os,T_3,f,base_02,0.1125,9.978975
os19_25m,54,SPL7,62.551,8.139,os,T_4,m,base_02,0.115625,7.232459375
os19_23f,56,SPL9,201.056,18.174,os,T_4,f,base_02,0.11875,23.8754
os19_31m,68,SPL18,83.388,0.552,os,T_4,m,base_02,0.121875,10.1629125
os19_22f,69,SPL19,66.123,14.793,os,T_4,f,base_02,0.11875,7.85210625
os19_46f,113,SPL20,52.591,15.633,os,T_5,f,base_02,0.115625,6.080834375
os19_45f,115,SPL22,101.455,7.641,os,T_5,f,base_02,0.11875,12.04778125
