id,tube,well_id,t_conc,cv,species,plate,sex,condition,t_corr_final,t_conc_corr
os19_7m,19,SPL15,88.515,4.529,os,T_3,m,back_home,0.125,11.064375
os19_1f,20,SPL16,40.698,48.209,os,T_3,f,back_home,0.115625,4.70570625
os19_6f,21,SPL17,85.557,3.356,os,T_3,f,back_home,0.11875,10.15989375
os19_8m,26,SPL21,90.802,1.31,os,T_3,m,back_home,0.1171875,10.64085938
os19_5f,34,SPL27,247.39,0.516,os,T_3,f,back_home,0.121875,30.15065625
os19_15m,36,SPL29,54.978,9.258,os,T_3,m,back_home,0.1515625,8.332603125
os19_14f,37,SPL30,14.71,75.124,os,T_3,f,back_home,0.115625,1.70084375
os19_9f,39,SPL32,71.319,9.145,os,T_3,f,back_home,0.125,8.914875
os19_12f,48,SPL3,85.134,30.985,os,T_4,f,back_home,0.121875,10.37570625
os19_20m,59,SPL11,267.439,4.438,os,T_4,m,back_home,0.1203125,32.17625469
os19_27m,63,SPL14,123.106,4.513,os,T_4,m,back_home,0.146875,18.08119375
os19_19f,66,SPL16,70.739,0.749,os,T_4,f,back_home,0.1484375,10.50032031
os19_23f,67,SPL17,62.769,4.544,os,T_4,f,back_home,0.13125,8.23843125
os19_29f,71,SPL21,67.176,1.579,os,T_4,f,back_home,0.115625,7.767225
os19_25m,79,SPL28,81.854,9.642,os,T_4,m,back_home,0.128125,10.48754375
os19_30m,83,SPL31,50.618,16.537,os,T_4,m,back_home,0.125,6.32725
os19_28m,84,SPL32,78.509,7.501,os,T_4,m,back_home,0.146875,11.53100938
os19_31m,93,SPL4,134.991,8.73,os,T_5,m,back_home,0.115625,15.60833438
os19_35m,105,SPL13,64.838,1.089,os,T_5,m,back_home,0.121875,7.90213125
os19_37f,109,SPL17,69.015,2.013,os,T_5,f,back_home,0.1046875,7.225007813
os19_38f,112,SPL19,263.017,1.13,os,T_5,f,back_home,0.140625,36.98676563
os19_39m,116,SPL23,170.975,2.086,os,T_5,m,back_home,0.115625,19.76898438
os19_40f,120,SPL27,103.822,9.172,os,T_5,f,back_home,0.1125,11.679975
os19_43m,121,SPL28,113.546,7.362,os,T_5,m,back_home,0.1140625,12.95134063
os19_47m,125,SPL30,69.556,4.204,os,T_5,m,back_home,0.1375,9.56395
os19_45f,131,SPL35,54.228,3.735,os,T_5,f,back_home,0.1328125,7.20215625
os19_48m,133,SPL36,263.225,3.687,os,T_5,m,back_home,0.1453125,38.24988281
os19_1f,1,SPL1,68.554,4.3,os,T_3,f,base_01,0.1234375,8.462134375
os19_2m,2,SPL2,217.638,10.105,os,T_3,m,base_01,0.1296875,28.22492813
os19_3m,3,SPL3,67.636,1.942,os,T_3,m,base_01,0.125,8.4545
os19_6f,6,SPL5,62.743,20.446,os,T_3,f,base_01,0.11875,7.45073125
os19_7m,7,SPL6,110.047,3.286,os,T_3,m,base_01,0.109375,12.03639063
os19_8m,8,SPL7,164.176,2.736,os,T_3,m,base_01,0.125,20.522
os19_9f,9,SPL8,54.499,21.53,os,T_3,f,base_01,0.1296875,7.067839063
os19_12f,15,SPL13,72.601,2.379,os,T_3,f,base_01,0.121875,8.848246875
os19_14f,17,SPL14,65.625,6.467,os,T_3,f,base_01,0.140625,9.228515625
os19_15m,24,SPL19,178.545,0.432,os,T_3,m,base_01,0.1484375,26.50277344
