id,species,sex,size,weight
dt17_1,dt,female,NA,5.05
dt17_10,dt,female,38.5,5.65
dt17_11,dt,male,35,3.65
dt17_12,dt,male,36.5,4
dt17_13,dt,female,39.5,5.05
dt17_14,dt,female,39.5,5.15
dt17_15,dt,male,34,4.3
dt17_16,dt,male,35,3.9
dt17_17,dt,male,NA,NA
dt17_18,dt,female,40.5,6.7
dt17_19,dt,male,NA,NA
dt17_2,dt,male,NA,3.1
dt17_20,dt,male,33.5,3.65
dt17_21,dt,male,NA,NA
dt17_22,dt,female,39.5,5.95
dt17_23,dt,female,40.5,5.5
dt17_24,dt,male,35,3.8
dt17_25,dt,female,40,5.45
dt17_26,dt,female,37,5.15
dt17_27,dt,female,42,5.5
dt17_28,dt,female,40,5.45
dt17_29,dt,female,39,5.9
dt17_3,dt,female,39.5,5.85
dt17_30,dt,male,36.2,3.95
dt17_31,dt,female,40,6
dt17_32,dt,male,34,3.9
dt17_33,dt,male,34.5,3.7
dt17_34,dt,female,40,5.25
dt17_35,dt,male,34,3.5
dt17_36,dt,male,NA,NA
dt17_4,dt,male,36.2,4.25
dt17_5,dt,female,37.5,5.05
dt17_6,dt,female,40,4.7
dt17_7,dt,male,34.5,3.65
dt17_8,dt,female,34,3.65
dt17_9,dt,male,39.5,5.85
dt19_1,dt,female,42,5.57
dt19_10,dt,female,39,5
dt19_11,dt,female,40.8,5.22
dt19_12,dt,male,35.1,3.14
dt19_13,dt,female,40,5.73
dt19_14,dt,male,37,3.8
dt19_15,dt,male,36,3.1
dt19_16,dt,female,40.5,5.3
dt19_17,dt,female,38.9,5.05
dt19_18,dt,male,32,2.8
dt19_19,dt,male,34.2,3.33
dt19_2,dt,female,43,5.46
dt19_20,dt,male,33.5,3.59
dt19_21,dt,female,31,2.43
dt19_22,dt,female,38.5,4.59
dt19_23,dt,male,32.3,2.92
dt19_24,dt,female,36.3,4.5
dt19_25,dt,female,37.2,3.95
dt19_26,dt,male,34.7,2.99
dt19_27,dt,male,37.5,4.04
dt19_28,dt,female,40.6,5.91
dt19_29,dt,male,34.1,3.39
dt19_3,dt,male,36,3.7
dt19_30,dt,female,41.2,6.17
dt19_31,dt,male,33,3.62
dt19_32,dt,female,41.5,4.45
dt19_33,dt,female,41.8,5.07
dt19_34,dt,male,34.8,5.5
dt19_35,dt,male,35.2,3.75
dt19_36,dt,male,38.1,4.12
dt19_37,dt,female,40.2,4.72
dt19_38,dt,male,36.2,3.39
dt19_39,dt,female,42.8,5.53
dt19_4,dt,male,36.5,3.51
dt19_40,dt,female,39.5,5.01
dt19_41,dt,female,37.5,4.48
dt19_42,dt,male,35.5,3.97
dt19_43,dt,male,36.6,3.9
dt19_44,dt,female,39.2,5.74
dt19_45,dt,male,34.2,3.2
dt19_46,dt,female,41.5,6.15
dt19_47,dt,female,40.03,5.9
dt19_48,dt,male,36.8,3.94
dt19_5,dt,male,35.5,3.55
dt19_6,dt,female,41.2,6.23
dt19_7,dt,female,40,6.11
dt19_8,dt,male,36.2,3.87
dt19_9,dt,male,35.5,4
